EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;G;1;;;UNIÓN EUROPEA;UNIÓN EUROPEA
2006;G;3;;;ADMINISTR. CENTRAL;ADMINISTRACIÓN CENTRAL
2006;G;5;;;OTRAS ADMIN PÚBLICAS;OTRAS ADMINISTRACIONES PÚBLICAS
2006;G;7;;;ENTES PRIVADOS;ENTES PRIVADOS
2006;G;9;;;RECURSOS PROPIOS;RECURSOS PROPIOS
2006;G;1;11;;FONDO SOCIAL EUROPEO;FONDO SOCIAL EUROPEO
2006;G;1;12;;FEOGA GARANTÍA;FEOGA GARANTÍA
2006;G;1;13;;FEOGA ORIENTACIÓN;FEOGA ORIENTACIÓN
2006;G;1;14;;F.E.D.E.R.;FONDO EUROPEO DE DESARROLLO REGIONAL
2006;G;1;15;;IFOP;INSTRUMENTO FINANCIERO DE ORDENACIÓN PESQUERA
2006;G;1;16;;FONDOS DE COHESIÓN;FONDOS DE COHESIÓN
2006;G;1;19;;OTR.AYUDAS EUROPEAS;OTRAS AYUDAS EUROPEAS
2006;G;3;32;;PLANES ESPECÍFICOS;PLANES ESPECÍFICOS
2006;G;3;33;;CONF SECT DE EMPLEO;CONFERENCIA SECTORIAL DE EMPLEO
2006;G;3;34;;CONF SECT DE AGRIC.;CONFERENCIA SECTORIAL DE AGRICULTURA
2006;G;3;35;;CONF SECT DE S.SOC.;CONFERENCIA SECTORIAL DE SERVICIOS SOCIALES
2006;G;3;36;;CONF SECT DE M.AMB.;CONFERENCIA SECTORIAL DE MEDIO AMBIENTE
2006;G;3;39;;OTR SUBV. ADM.CENTR.;OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
2006;G;5;51;;DIPUTACIONES PROVINCIALES;DIPUTACIONES PROVINCIALES
2006;G;5;55;;C.A. ARAGÓN;COMUNIDAD AUTÓNOMA DE ARAGÓN
2006;G;7;71;;ENTES PRIV.FINAN.;ENTES PRIVADOS FINANCIEROS
2006;G;7;72;;ENTES PRIV.NO FINAN.;ENTES PRIVADOS NO FINANCIEROS
2006;G;9;91;;RECURSOS PROPIOS;RECURSOS PROPIOS
2006;G;1;11;11001;FSE OBJ 3. EJE 1;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJE 1
2006;G;1;11;11002;FSE OBJ 3 EJ 2 3 5 8;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJES 2, 3, 5 Y 8
2006;G;1;11;11003;FSE OBJ 3 EJES 6 7 9;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJES 6, 7 Y 9
2006;G;1;11;11004;FSE OBJ 3 EJ 7 GL;FONDO SOCIAL EUROPEO. PROGRAMA OPERATIVO OBJETIVO 3. EJE 7 SUBVENCIÓN GLOBAL
2006;G;1;11;11005;FSE PR PL SIS F PROF;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES SISTEMA DE FORMACIÓN PROFESIONAL
2006;G;1;11;11006;FSE PR  PL IN EMP FC;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES INICIATIVA EMPRESARIAL Y FORMACIÓN CONTINUA
2006;G;1;11;11007;FSE PR PL LUCH DISCR;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES LUCHA CONTRA LA DISCRIMINACIÓN
2006;G;1;11;11008;FSE PR PLURI FOM EMP;FONDO SOCIAL EUROPEO. PROGRAMAS PLURIREGIONALES FOMENTO DE EMPLEO
2006;G;1;11;11009;I C EQUAL;INICIATIVA COMUNITARIA EQUAL
2006;G;1;12;12001;PAC;POLÍTICA AGRARIA COMUNITARIA
