EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;01;Cortes de Aragón;Cortes de Aragón
2006;0100;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2006;01000;Ingresos de las Cortes de Aragón;Ingresos de las Cortes de Aragón
2006;0101;Cortes de Aragón;Cortes de Aragón
2006;01010;Cortes de Aragón;Cortes de Aragón
2006;0102;El Justicia de Aragón;El Justicia de Aragón
2006;01020;El Justicia de Aragón;El Justicia de Aragón
2006;0103;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2006;01030;Cámara de Cuentas de Aragón;Cámara de Cuentas de Aragón
2006;02;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2006;0200;Ingresos de Presidencia Gobierno Aragón;Ingresos de la Presidencia del Gobierno de Aragón
2006;02000;Ingresos de Presidencia del Gobierno;Ingresos de la Presidencia del Gobierno de Aragón
2006;0201;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2006;02010;Presidencia del Gobierno de Aragón;Presidencia del Gobierno de Aragón
2006;03;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2006;0300;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2006;03000;Ingresos Consejo Consultivo de Aragón;Ingresos del Consejo Consultivo de Aragón
2006;0301;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2006;03010;Consejo Consultivo de Aragón;Consejo Consultivo de Aragón
2006;04;Vicepresidencia del Gobierno;Vicepresidencia del Gobierno
2006;0400;Ingresos de Vicepresidencia de Gobierno;No operativo
2006;04000;Ingresos de Vicepresidencia de Gobierno;No operativo
2006;0401;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2006;04010;S.G.T. Vicepresidencia;Secretaría General Técnica de la Vicepresidencia
2006;0402;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2006;04020;D.G. de Desarrollo Estatutario;Dirección General de Desarrollo Estatutario
2006;09;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2006;0900;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2006;09000;Ingresos Consejo Ec. y Social de Aragón;Ingresos del Consejo Económico y Social de Aragón
2006;0901;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2006;09010;Consejo Económico y Social de Aragón;Consejo Económico y Social de Aragón
2006;10;Presidencia;Presidencia
2006;1000;Ingresos de Presidencia;Ingresos de Presidencia
