EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2006;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;632.990.153,00
2006;12500;110000;91003;Sobre adquisiciones por herencia o legado;84.140.000,00
2006;12500;110003;91003;Donaciones;10.860.000,00
2006;12500;111000;91003;Sobre el patrimonio neto de las personas físicas;43.000.000,00
2006;12500;112000;91003;Sobre Grandes superficies;4.000.000,00
2006;12500;113000;91003;Sobre emisiones contaminantes;12.000.000,00
2006;12500;114000;91003;Sobre tendidos aéreos;1.700.000,00
2006;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;224.200.000,00
2006;12500;200001;91003;Sobre Operaciones Societarias;12.500.000,00
2006;12500;200002;91003;Sobre Transmisiones de vehículos;5.300.000,00
2006;12500;201000;91003;Efectos timbrados y otros;151.725.000,00
2006;12500;201001;91003;Exceso letras de cambio;11.475.000,00
2006;12500;210001;91003;I.V.A. Sobre Operaciones Internas;596.743.423,00
2006;12500;220000;91003;Sobre el alcohol y bebidas derivadas;14.152.812,00
2006;12500;220001;91003;Sobre Cerveza;3.418.707,00
2006;12500;220003;91003;Sobre labores de tabaco;80.949.240,00
2006;12500;220004;91003;S/ venta minorista de determinados hidrocarburos;39.600.000,00
2006;12500;220005;91003;Sobre determinados medios de transporte;31.000.000,00
2006;12500;220006;91003;Sobre productos intermedios;295.873,00
2006;12500;220007;91003;Sobre energía (electricidad);40.459.122,00
2006;12500;220008;91003;Sobre hidrocarburos;180.028.751,00
2006;12500;300003;91003;Venta de Bienes de Agricultura y Alimentación;18.000,00
2006;12500;300007;91003;Venta de Bienes de Educación, Cultura y Deporte;1.250,00
2006;12500;300050;91003;Venta de Bienes de Cortes de Aragón;9.000,00
2006;12500;301007;91003;Venta de Publicac. de Educación, Cultura y Deporte;60.000,00
2006;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;12.000,00
2006;12500;302000;91003;Venta de cartones de bingo;670.000,00
2006;12500;311001;91003;Prestación de Servicios en residencias;950.000,00
2006;12500;311003;91003;Prestación de Servicios centros sociales y clubs;14.000,00
2006;12500;311005;91003;Prestación de Servicios por Carnés Juveniles;50.000,00
2006;12500;311006;91003;Prestación de Servicios en campamentos;50.000,00
2006;12500;311007;91003;Prestación de Servicios por campos de trabajo;48.000,00
2006;12500;311008;91003;Prestación de Servicios en albergues;350.000,00
2006;12500;312001;91003;Prestación de Servicios en Cartografía;70.000,00
2006;12500;312002;91003;Suscripión y venta del Boletín Oficial de Aragón;340.000,00
2006;12500;313000;91003;Cuotas alumnos Escuelas de Capacitación Agraria;44.856,00
2006;12500;315001;91003;Prestación de Servicios en residencias;235.000,00
2006;12500;316008;91003;Prestación de Servicios en guarderías;499.900,00
2006;12500;319007;91003;Otras Prest. de Svcios de Educ.,Cultura y Deporte;1.972.736,00
2006;12500;319050;91003;Otras Prest. de Svcios de las Cortes de Aragón;90.000,00
2006;12500;320004;91003;Tasa 04- Por Autorizaciones Espectáculos Públicos;20.000,00
