EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2010;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;882.458.089,59
2010;12500;110000;91003;Sobre adquisiciones por herencia o legado;125.500.000,00
2010;12500;110003;91003;Donaciones;9.500.000,00
2010;12500;112000;91003;Sobre Grandes superficies;7.741.935,48
2010;12500;113000;91003;Sobre emisiones contaminantes;6.881.720,43
2010;12500;114000;91003;Sobre tendidos aéreos;1.376.344,09
2010;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;117.000.000,00
2010;12500;200001;91003;Sobre Operaciones Societarias;11.000.000,00
2010;12500;200002;91003;Sobre Transmisiones de vehículos;2.500.000,00
2010;12500;201000;91003;Efectos timbrados y otros;146.500.000,00
2010;12500;201001;91003;Exceso letras de cambio;50.000,00
2010;12500;201002;91003;Reintegros a metálico;6.500.000,00
2010;12500;210001;91003;I.V.A. Sobre Operaciones Internas;434.032.793,88
2010;12500;220000;91003;Sobre el alcohol y bebidas derivadas;11.679.614,08
2010;12500;220001;91003;Sobre Cerveza;3.365.011,22
2010;12500;220003;91003;Sobre labores de tabaco;111.572.616,73
2010;12500;220004;91003;S/ venta minorista de determinados hidrocarburos;40.000.000,00
2010;12500;220005;91003;Sobre determinados medios de transporte;25.000.000,00
2010;12500;220006;91003;Sobre productos intermedios;245.976,12
2010;12500;220007;91003;Sobre energía (electricidad);59.410.607,76
2010;12500;220008;91003;Sobre hidrocarburos;180.529.727,14
2010;12500;300003;91003;Venta de Bienes de Agricultura y Alimentación;7.000,00
2010;12500;300007;91003;Venta de Bienes de Educación, Cultura y Deporte;757,50
2010;12500;300050;91003;Venta de Bienes de Cortes de Aragón;25.000,00
2010;12500;301007;91003;Venta de Publicac. de Educación, Cultura y Deporte;136.000,48
2010;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;30.000,00
2010;12500;302000;91003;Venta de cartones de bingo;700.000,00
2010;12500;312001;91003;Prestación de Servicios en Cartografía;70.000,00
2010;12500;315001;91003;Prestación de Servicios en residencias;1.200.000,00
2010;12500;316008;91003;Prestación de Servicios en guarderías;1.285.754,50
2010;12500;319005;91003;Otras Prest. de Svcios de Salud y Consumo;2.000.000,00
2010;12500;319007;91003;Otras Prest. de Svcios de Educ.,Cultura y Deporte;4.116.230,28
2010;12500;319008;91003;Otras Prest. de Svcios de Medio Ambiente;175.325,00
2010;12500;319050;91003;Otras Prest. de Svcios de las Cortes de Aragón;100.000,00
2010;12500;320004;91003;Tasa 04- Por Autorizaciones Espectáculos Públicos;40.157,00
2010;12500;320019;91003;Tasa 19- Por Servicios Admvos. y técnicos de juego;1.510.290,51
2010;12500;320022;91003;Tasa 22- Inserción de Anuncios en el B.O.A.;1.385.396,56
2010;12500;320023;91003;Tasa 23- Inscr.Public. Asociac.,Fundac.,CCPP,Cons.;74.790,00
2010;12500;320024;91003;Tasa 24- Derechos de examen de pruebas selectivas;481.300,00
2010;12500;320032;91003;Tasa 32- Act. Adm. al serv.Radiodifusión y TV;30.000,00
2010;12500;321005;91003;Tasa 05;1.850.000,00
2010;12500;321006;91003;Tasa 06- Act. en materia de vivienda protegida;1.042.000,00
2010;12500;321007;91003;Tasa 07- Expedición cédula de habitabilidad;35.000,00
2010;12500;321027;91003;Tasa 27- Acred.labor.ctrol calidad edificación;77.900,00
2010;12500;322009;91003;Tasa 09- S.Fac.S/ord. industr. forest,agrar.,alim.;260.000,00
2010;12500;322010;91003;Tasa 10- Servicios facultativos agronómicos;200.000,00
2010;12500;322011;91003;Tasa 11- Servicios facultativos veterinarios;2.050.000,00
2010;12500;322030;91003;Tasa 30- Inscrip. Registro org. modif. genétic.;22.000,00
2010;12500;323012;91003;Tasa 12- Inspecc.control. sanitarios de animales;7.100,00
2010;12500;323013;91003;Tasa 13- Autoriz.,inspecc. centros sanitarios;330.000,00
2010;12500;323020;91003;Tasa 20- Autoriz.,inspecc. centros farmacéuticos;105.000,00
2010;12500;324021;91003;TASA 21;40.000,00
2010;12500;326015;91003;Tasa 15- Serv. Exped. títulos académicos,profes.;1.047.011,94
2010;12500;326025;91003;Tasa 25- Serv. Registro Ppdad Intelectual Aragón;17.399,06
2010;12500;327014;91003;Tasa 14- Serv. act. Indus,energ,metrol,miner,comer;3.860.000,00
2010;12500;329001;91003;Tasa 01- Dirección e inspección de obras;4.927.995,69
2010;12500;329002;91003;Tasa 02;8.500,00
2010;12500;329003;91003;Tasa 03- Serv.admvos, redacc. informes,activ. fac.;347.000,00
2010;12500;332003;91003;Precios Públicos del Laboratorio Agroalimentario;38.000,00
2010;12500;332004;91003;Precios Públicos Ctro Transferencia Agroalimentar.;1.000,00
2010;12500;335000;91003;P. Públicos del Laboratorio de Calidad de la Edif.;23.000,00
2010;12500;337001;91003;Instalaciones deportivas;554.500,00
2010;12500;337002;91003;Actividades deportivas;62.320,00
2010;12500;370000;91003;Casinos;2.500.000,00
2010;12500;370001;91003;Bingos;30.055.000,00
2010;12500;370002;91003;Máquinas recreativas;32.400.000,00
2010;12500;370003;91003;Loterías,rifas,boletos y combinaciones aleatorias;15.000,00
2010;12500;380099;91003;Otros reintegros de ejercicios cerrados;3.500.000,00
2010;12500;390000;91003;Costas por sentencias judiciales;75.000,00
2010;12500;391000;91003;Daños en carreteras;189.000,00
2010;12500;395001;91003;Multas y sanciones de Economía, Hacienda y Empleo;3.500.000,00
2010;12500;395002;91003;Multas y sanciones de O.P, Urbanismo y Transportes;8.657.000,00
2010;12500;395003;91003;Multas y sanciones de Agricultura y Alimentación;290.000,00
2010;12500;395004;91003;Multas y sanciones de Industria, Comercio y Tur.;125.000,00
2010;12500;395005;91003;Multas y sanciones de Salud y Consumo;2.860.000,00
2010;12500;395008;91003;Multas y sanciones de Medio Ambiente;571.453,00
2010;12500;395011;91003;Multas y sanciones de P.Terr, Justicia e Interior;115.000,00
2010;12500;396007;91003;Ingresos diversos de Educación, Cultura y Deporte;67.502,31
2010;12500;400002;91003;Fondo de suficiencia;1.081.465.803,67
2010;12500;400003;91003;Financiación de la Asistencia Sanitaria;19.089.820,00
2010;12500;400009;91003;Fondos Adicionales de la Financiación Autonómica;310.008.201,69
2010;12500;402099;39004;Otras subv Ind., Com y Turism y Cienc, Tecn y Univ;88.500,00
2010;12500;402099;91003;Otras subv Ind., Com y Turism y Cienc, Tecn y Univ;2.000.000,00
2010;12500;403000;34001;Ayudas complementarias a la Política Agraria Común;740.000,00
2010;12500;403001;91003;Gastos intervención de mercado;250.000,00
2010;12500;403004;91003;Estadística agraria;174.149,00
2010;12500;403099;34011;Otras subvenciones de Agricultura y Alimentación;240.000,00
