EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2012;G;1;;;;Gastos de Personal;Gastos de Personal
2012;G;2;;;;Gtos.Bienes Corr. y Serv.;Gastos en Bienes Corrientes y Servicios
2012;G;3;;;;Gastos Financieros;Gastos Financieros
2012;G;4;;;;Transferencias Corrientes;Transferencias Corrientes
2012;G;5;;;;Fondo Contingencia;Fondo de Contingencia de Ejecución Presupuestaria
2012;G;6;;;;Inversiones Reales;Inversiones Reales
2012;G;7;;;;Transferencias de Capital;Transferencias de Capital
2012;G;8;;;;Activos Financieros;Activos Financieros
2012;G;9;;;;Pasivos Financieros;Pasivos Financieros
2012;G;1;10;;;Altos Cargos;Altos Cargos
2012;G;1;11;;;Person. Eventual Gabinete;Personal Eventual de Gabinete
2012;G;1;12;;;Funcionarios;Funcionarios
2012;G;1;13;;;Laborales;Laborales
2012;G;1;14;;;Otro personal;Otro personal
2012;G;1;15;;;Incentivos al rendimiento;Incentivos al rendimiento
2012;G;1;16;;;Cuotas sociales empleador;Cuotas, prestaciones y gastos sociales a cargo del empleador
2012;G;1;17;;;Gtos personal distribuir;Gastos de personal a distribuir
2012;G;1;18;;;Pers. Instit. Sanitarias;Personal de Instituciones Sanitarias
2012;G;2;20;;;Arrendamientos;Arrendamientos
2012;G;2;21;;;Reparación y conservación;Reparación y conservación
2012;G;2;22;;;Material, suminis.y otros;Material, suministros y otros
2012;G;2;23;;;Indemnizac. por servicio;Indemnizaciones por razón del servicio
2012;G;2;24;;;Servicios nuevos;Servicios nuevos
2012;G;2;25;;;Otr gtos b.corrient y ser;Otros gastos en bienes corrientes y servicios
2012;G;2;26;;;Serv.Asist. medios ajenos;Servicios asistenciales con medios ajenos
2012;G;3;30;;;De deuda interior;De deuda interior
2012;G;3;31;;;De préstamos del interior;De préstamos del interior
2012;G;3;32;;;De préstamos del exterior;De préstamos del exterior
2012;G;3;35;;;Depósitos,fianzas,avales;De depósitos, fianzas y avales
2012;G;3;39;;;Otro préstamos y anticip.;Otros préstamos y anticipos
2012;G;4;40;;;A la Admón del Estado;A la Administración del Estado
2012;G;4;41;;;A Organismos Autónomos;A Organismos Autónomos
2012;G;4;42;;;A la Seguridad Social;A la Seguridad Social
2012;G;4;44;;;A Empr. y Entes Públicos;A Empresas Públicas y otros Entes Públicos
2012;G;4;45;;;A Comunidades Autónomas;A Comunidades Autónomas
2012;G;4;46;;;A Corporaciones Locales;A Corporaciones Locales
2012;G;4;47;;;A Empresas Privadas;A Empresas Privadas
2012;G;4;48;;;A fam,ins.sin fines lucro;A familias e instituciones sin fines de lucro
2012;G;4;49;;;Al Exterior;Al Exterior
2012;G;5;50;;;Fondo Contingencia;Fondo de Contingencia de Ejecución Presupuestaria
2012;G;6;60;;;Inversiones Reales;Inversiones Reales
2012;G;7;70;;;A la Admón del Estado;A la Administración del Estado
2012;G;7;71;;;A Organismos Autónomos;A Organismos Autónomos
2012;G;7;72;;;A la Seguridad Social;A la Seguridad Social
2012;G;7;74;;;A Empr. y Entes Públicos;A Empresas Públicas y otros Entes Públicos
2012;G;7;75;;;A Comunidades Autónomas;A Comunidades Autónomas
2012;G;7;76;;;A Corporaciones Locales;A Corporaciones Locales
2012;G;7;77;;;A Empresas Privadas;A Empresas Privadas
2012;G;7;78;;;A fam,ins.sin fines lucro;A familias e instituciones sin fines de lucro
2012;G;7;79;;;Al Exterior;Al Exterior
2012;G;8;80;;;Conc. prést. y anticipos;Concesión de préstamos y anticipos
2012;G;8;81;;;Adquis. accion. Sect.Públ;Adquisición de acciones y participaciones del Sector Público
2012;G;8;82;;;Adquis. accion. Sect.Priv;Adquisición de acciones y participaciones del Sector Privado
2012;G;8;85;;;Const.Fianzas y depósitos;Constitución de fianzas y depósitos
2012;G;8;87;;;Aport. Patrimoniales;Aportaciones Patrimoniales
2012;G;9;90;;;Amortiz. Deuda Pública;Amortización de Deuda Pública
2012;G;9;91;;;Amortización préstamos;Amortización de Préstamos
2012;G;1;10;100;;Básicas y otras Alt.Cargo;Retribuciones básicas y otras remuneraciones de Altos Cargos
2012;G;1;11;110;;Básicas y otras P.Ev.Gab.;Retribuciones básicas y otras remuneraciones de Personal Eventual de Gabinete
2012;G;1;12;120;;Ret. básicas Funcionarios;Retribuciones básicas de Personal Funcionario
2012;G;1;12;121;;Retr. compl. Funcionarios;Retribuciones complementarias de Personal Funcionario
2012;G;1;12;122;;Retr.especie Funcionario;Retribuciones en especie de Personal Funcionario
2012;G;1;12;123;;Retr. Bás. P Func Docente;Retribuciones Básicas de Personal Funcionario Docente
2012;G;1;12;124;;Retr. Com. P Func Docente;Retribuciones Complementarias de Personal Funcionario Docente
2012;G;1;12;125;;RB F Nal. Justicia;Retribuciones Básicas del Personal Funcionario de los Cuerpos Nacionales al servicio de la Administración de Justicia
2012;G;1;12;126;;RC F Nal. Justicia;Retribuciones Complementarias de Personal Funcionario de los Cuerpos Nacionales al servicio de la Administración de Justicia
2012;G;1;13;130;;Laboral fijo;Laboral fijo
2012;G;1;13;131;;Laboral Eventual;Laboral Eventual
2012;G;1;14;140;;Otro personal;Otro personal
2012;G;1;15;150;;Productividad;Productividad
2012;G;1;15;151;;Gratificaciones;Gratificaciones
2012;G;1;16;160;;Cuotas Sociales;Cuotas Sociales
2012;G;1;16;161;;Gtos.Soc.Func. y no labor;Gastos sociales de Funcionarios y personal no Laboral
2012;G;1;16;162;;Gtos. sociales Laborales;Gastos sociales de Personal Laboral
2012;G;1;16;165;;Fondo de Acción Social;Fondo de Acción Social
2012;G;1;17;170;;Fondo Incremento Norm.;Fondo de Incremento Normativo
2012;G;1;17;171;;Fondos Adicionales;Fondos Adicionales
2012;G;1;17;172;;Otros Fondos Adicionales;Otros Fondos Adicionales
2012;G;1;18;180;;Ret.Func,APD,est,no labor;Retribuciones básicas de Personal Funcionario,  A.P.D., Estatutario y no Laboral
2012;G;1;18;182;;Retr otro Est. Temp.;Retribuciones de otro personal estatutario temporal
2012;G;1;18;183;;Labor fijo de Inst.Sanit.;Personal laboral fijo de Instituciones Sanitarias
2012;G;1;18;184;;Personal laboral eventual;Personal laboral eventual
2012;G;1;18;185;;Inc.Rendim. Per Ins.Sanit;Incentivos al rendimiento del personal de Instituciones Sanitarias
2012;G;1;18;186;;Cuotas,prest. y gtos soc.;Cuotas Sociales, gastos y Prestaciones Sociales de personal de Instituciones Sanitarias
2012;G;1;18;187;;Personal en Formación;Personal en Formación
2012;G;2;20;200;;Arrend. Terr y  B. natur.;Arrendamientos de terrenos y bienes naturales
2012;G;2;20;202;;Arrend. Edific. y constr;Arrendamientos de edificios y otras construcciones
2012;G;2;20;203;;Arrend. Maq,inst,utillaje;Arrendamientos de maquinaria, instalación y utillaje
2012;G;2;20;204;;Arrend. Material transp.;Arrendamientos de material de transporte
2012;G;2;20;205;;Arrend. Mobil.,enseres;Arrendamientos de mobiliario y enseres
2012;G;2;20;206;;Arrend. Equip proc inform;Arrendamientos de equipos para procesos de información
2012;G;2;20;209;;Arrend. otro inmov. mat.;Arrendamientos de otro inmovilizado material
2012;G;2;21;210;;Rep.Const.Terr y B.natur.;Reparación y conservación de terrenos y bienes naturales
2012;G;2;21;212;;Rep.Const. Edif. y constr;Reparación y conservación de edificios y otras construcciones
2012;G;2;21;213;;Rep.Const. Maq,inst,utill;Reparación y conservación de maquinaria, instalaciones y utillaje
2012;G;2;21;214;;Rep.Const. Mat. transport;Reparación y conservación de material de transporte
2012;G;2;21;215;;Rep.Const. Mobil.,enseres;Reparación y conservación de mobiliario y enseres
2012;G;2;21;216;;Rep.Const. Equip informac;Reparación y conservación de equipos para procesos de información
2012;G;2;21;219;;Rep.Const. otr inm. mat.;Reparación y conservación de otro inmovilizado material
2012;G;2;22;220;;Material de oficina;Material de oficina
2012;G;2;22;221;;Suministros;Suministros
2012;G;2;22;222;;Comunicaciones;Comunicaciones
2012;G;2;22;223;;Transporte;Transporte
2012;G;2;22;224;;Primas de seguros;Primas de seguros
2012;G;2;22;225;;Tributos;Tributos
2012;G;2;22;226;;Gastos diversos;Gastos diversos
2012;G;2;22;227;;Trabajos otras empresas;Trabajos realizados por otras empresas
2012;G;2;22;229;;Gtos. Ctros doc. no univ.;Gastos en centros docentes no universitarios
2012;G;2;23;230;;Dietas;Dietas
2012;G;2;23;231;;Locomoción;Locomoción
2012;G;2;23;232;;Traslado;Traslado
2012;G;2;23;239;;Otras indemnizaciones;Otras indemnizaciones
2012;G;2;24;240;;Arrend. servicios nuevos;Arrendamientos para servicios nuevos
2012;G;2;24;241;;Rep. conserv serv. nuevos;Reparación y conservación para servicios nuevos
2012;G;2;24;242;;Mater,sumin. serv. nuevos;Material, suministros y otros para servicios nuevos
2012;G;2;24;243;;Dietas,locom. serv.nuevos;Dietas y locomociones para servicios nuevos
2012;G;2;24;244;;Ac.concertada serv.nuevos;Acción concertada en servicios nuevos
2012;G;2;24;249;;Otros gastos serv. nuevos;Otros gastos en servicios nuevos
2012;G;2;25;250;;Gastos pruebas selectivas;Gastos en pruebas selectivas
2012;G;2;25;251;;Realización de cursos;Gastos de realización de cursos
