EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2013;1;Cortes de Aragn;Cortes de Aragn
2013;100;Ingresos de las Cortes de Aragn;Ingresos de las Cortes de Aragn
2013;1000;Ingresos de las Cortes de Aragn;Ingresos de las Cortes de Aragn
2013;101;Cortes de Aragn;Cortes de Aragn
2013;1010;Cortes de Aragn;Cortes de Aragn
2013;102;El Justicia de Aragn;El Justicia de Aragn
2013;1020;El Justicia de Aragn;El Justicia de Aragn
2013;103;Cmara de Cuentas de Aragn;Cmara de Cuentas de Aragn
2013;1030;Cmara de Cuentas de Aragn;Cmara de Cuentas de Aragn
2013;2;Presidencia del Gobierno de Aragn;Presidencia del Gobierno de Aragn
2013;200;Ingresos de Presidencia Gobierno Aragn;Ingresos de la Presidencia del Gobierno de Aragn
2013;2000;Ingresos de Presidencia del Gobierno;Ingresos de la Presidencia del Gobierno de Aragn
2013;201;Presidencia del Gobierno de Aragn;Presidencia del Gobierno de Aragn
2013;2010;Presidencia del Gobierno de Aragn;Presidencia del Gobierno de Aragn
2013;3;Consejo Consultivo de Aragn;Consejo Consultivo de Aragn
2013;300;Ingresos Consejo Consultivo de Aragn;Ingresos del Consejo Consultivo de Aragn
2013;3000;Ingresos Consejo Consultivo de Aragn;Ingresos del Consejo Consultivo de Aragn
2013;301;Consejo Consultivo de Aragn;Consejo Consultivo de Aragn
2013;3010;Consejo Consultivo de Aragn;Consejo Consultivo de Aragn
2013;9;Consejo Econmico y Social de Aragn;Consejo Econmico y Social de Aragn
2013;900;Ingresos Consejo Ec. y Social de Aragn;Ingresos del Consejo Econmico y Social de Aragn
2013;9000;Ingresos Consejo Ec. y Social de Aragn;Ingresos del Consejo Econmico y Social de Aragn
2013;901;Consejo Econmico y Social de Aragn;Consejo Econmico y Social de Aragn
2013;9010;Consejo Econmico y Social de Aragn;Consejo Econmico y Social de Aragn
2013;10;Presidencia y Justicia;Presidencia y Justicia
2013;1000;Ingresos de Presidencia y Justicia;Ingresos de Presidencia y Justicia
2013;10000;Ingresos de Presidencia y Justicia;Ingresos de Presidencia y Justicia
2013;1001;S.G.T. Presidencia y Justicia;Secretara General Tcnica de Presidencia y Justicia
2013;10010;S.G.T. Presidencia y Justicia;Secretara General Tcnica de Presidencia y Justicia
2013;1002;Direccin General de Servicios Jurdicos;Direccin General de Servicios Jurdicos
2013;10020;Direccin General de Servicios Jurdicos;Direccin General de Servicios Jurdicos
2013;1003;D.G. de Desarrollo Estatutario;Direccin General de Desarrollo Estatutario
2013;10030;D.G. de Desarrollo Estatutario;Direccin General de Desarrollo Estatutario
2013;1004;D.G. Rel. Inst. y con Cortes de Aragn;D.G. de Relaciones Institucionales y con las Cortes de Aragn
2013;10040;D.G. Rel. Inst. y con Cortes de Aragn;D.G. de Relaciones Institucionales y con las Cortes de Aragn
2013;1005;D.G. Part. Ciudadana,Acc. Ext. y Cooper.;Direccin General de Participacin Ciudadana, Accin Exterior y Cooperacin
2013;10050;D.G. Part. Ciudadana,Acc. Ext. y Cooper.;Direccin General de Participacin Ciudadana, Accin Exterior y Cooperacin
2013;1006;D.G. de Administracin de Justicia;Direccin General de Administracin de Justicia
2013;10060;D.G. de Administracin de Justicia;Direccin General de Administracin de Justicia
2013;11;Poltica Territorial e Interior;Poltica Territorial e Interior
2013;1100;Ingresos Poltica Territorial e Interior;Ingresos de Poltica Territorial e Interior
2013;11000;Ingresos Poltica Territorial e Interior;Ingresos de Poltica Territorial e Interior
2013;1101;S.G.T. de Polt.Territorial e Interior;Secretara General Tcnica de Poltica Territorial e Interior
2013;11010;S.G.T. de Polt.Territorial e Interior;Secretara General Tcnica de Poltica Territorial e Interior
2013;1103;D.G. de Administracin Local;Direccin General de Administracin Local
2013;11030;D.G. de Administracin Local;Direccin General de Administracin Local
2013;1104;D.G. de Ordenacin del Territorio;Direccin General de Ordenacin del Territorio
2013;11040;D.G. de Ordenacin del Territorio;Direccin General de Ordenacin del Territorio
2013;1105;Direccin General de Interior;Direccin General de Interior
2013;11050;Direccin General de Interior;Direccin General de Interior
2013;1106;Delegacin Territorial de Huesca;Delegacin Territorial de Huesca
2013;11060;Delegacin Territorial de Huesca;Delegacin Territorial de Huesca
2013;1107;Delegacin Territorial de Teruel;Delegacin Territorial de Teruel
2013;11070;Delegacin Territorial de Teruel;Delegacin Territorial de Teruel
2013;12;Hacienda y Administracin Pblica;Hacienda y Administracin Pblica
2013;1200;Ingresos de Hacienda y Adm. Pblica;Ingresos de Hacienda y Administracin Pblica
2013;12000;Ingresos de Hacienda y Adm. Pblica;Hacienda y Administracin Pblica
2013;1201;S.G.T. de Hacienda y Administ. Pblica;Secretara General Tcnica de Hacienda y Administracin Pblica
2013;12010;S.G.T. de Hacienda y Administ. Pblica;Secretara General Tcnica de Hacienda y Administracin Pblica
2013;1202;D.G. Presupuestos,Financiacin,Tesorera;Direccin General de Presupuestos, Financiacin y Tesorera
2013;12020;D.G. Presupuestos,Financiacin,Tesorera;Direccin General de Presupuestos, Financiacin y Tesorera
2013;1203;D.G. Contratacin, Patrimonio y Organiz.;Direccin General de Contratacin, Patrimonio y Organizacin
2013;12030;D.G. Contratacin, Patrimonio y Organiz.;Direccin General de Contratacin, Patrimonio y Organizacin
2013;1204;Intervencin General;Intervencin General
2013;12040;Intervencin General;Intervencin General
2013;1205;Direccin General de Tributos;Direccin General de Tributos
2013;12050;Direccin General de Tributos;Direccin General de Tributos
2013;1206;D.G. Funcin Pblica y Calidad de Serv.;Direccin General de Funcin Pblica y Calidad de los Servicios
2013;12060;D.G. Funcin Pblica y Calidad de Serv.;Direccin General de Funcin Pblica y Calidad de los Servicios
2013;12080;D.G. Asuntos Europeos y Accin Exterior;No operativo
2013;1250;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2013;12500;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2013;1251;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2013;12510;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2013;1252;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2013;12520;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2013;1253;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2013;12530;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2013;13;O.Pb.,Urbanismo,Vivienda y Transportes;Obras Pblicas, Urbanismo, Vivienda y Transportes
2013;1300;Ingresos O.P., Urbanismo Viv. y Ttes;Ingresos de Obras Pblicas, Urbanismo, Vivienda y Transportes
2013;13000;Ingresos O.P., Urbanismo Viv. y Ttes;Ingresos de Obras Pblicas, Urbanismo, Vivienda y Transportes
2013;1301;S.G.T. O.P., Urbanismo,Vivienda y Ttes.;Secretara General Tcnica de Obras Pblicas, Urbanismo, Vivienda y Transportes
2013;13010;S.G.T. O.P., Urbanismo,Vivienda y Ttes.;Secretara General Tcnica de Obras Pblicas, Urbanismo, Vivienda y Transportes
2013;1302;Direccin General de Carreteras;Direccin General de Carreteras
2013;13020;Direccin General de Carreteras;Direccin General de Carreteras
2013;1303;Direccin General de Urbanismo;Direccin General de Urbanismo
2013;13030;Direccin General de Urbanismo;Direccin General de Urbanismo
2013;1304;D.G. Transportes y Planif. de Infraestr.;Direccin General de Transportes y Planificacin de Infraestructuras
2013;13040;D.G. Transportes y Planif. de Infraestr.;Direccin General de Transportes y Planificacin de Infraestructuras
2013;1305;D.G. de Vivienda y Rehabilitacin;Direccin General de Vivienda y Rehabilitacin
2013;13050;D.G. de Vivienda y Rehabilitacin;Direccin General de Vivienda y Rehabilitacin
2013;14;Agricultura, Ganadera y Medio Ambiente;Agricultura, Ganadera y Medio Ambiente
2013;1400;Ingresos Agricultura,Ganad. y Medio Amb.;Ingresos de Agricultura, Ganadera y Medio Ambiente
2013;14000;Ingresos Agricultura,Ganad. y Medio Amb.;Ingresos de Agricultura, Ganadera y Medio Ambiente
2013;1401;S.G.T. de Agricultura,Ganadera y M.Amb.;Secretara General Tcnica de Agricultura, Ganadera y Medio Ambiente
2013;14010;S.G.T. de Agricultura,Ganadera y M.Amb.;Secretara General Tcnica de Agricultura, Ganadera y Medio Ambiente
2013;14011;AGRI-Sevicio Provincial de Huesca;AGRI - Servicio Provincial de Huesca
2013;14012;AGRI-Sevicio Provincial de Teruel;AGRI - Servicio Provincial de Teruel
2013;14013;AGRI-Sevicio Provincial de Zaragoza;AGRI - Servicio Provincial de Zaragoza
2013;1402;Direccin General de Produccin Agraria;Direccin General de Produccin Agraria
2013;14020;Direccin General de Produccin Agraria;Direccin General de Produccin Agraria
2013;1403;D.G. de Alimentac. y Fto Agroalimentario;Direccin General de Alimentacin y Fomento Agroalimentario
2013;14030;D.G. de Alimentac. y Fto Agroalimentario;Direccin General de Alimentacin y Fomento Agroalimentario
2013;1404;D.G. Conservacin del Medio Natural;Direccin General de Conservacin del Medio Natural
2013;14040;D.G. Conservacin del Medio Natural;Direccin General de Conservacin del Medio Natural
2013;1405;Direccin General de Desarrollo Rural;Direccin General de Desarrollo Rural
2013;14050;Direccin General de Desarrollo Rural;Direccin General de Desarrollo Rural
2013;1406;D.G. de Gestin Forestal;Direccin General de Gestin Forestal
2013;14060;D.G. de Gestin Forestal;Direccin General de Gestin Forestal
2013;1407;D.G. de Calidad Ambiental;Direccin General de Calidad Ambiental
2013;14070;D.G. de Calidad Ambiental;Direccin General de Calidad Ambiental
2013;15;Economa y Empleo;Economa y Empleo
2013;1500;Ingresos de Economa y Empleo;Ingresos de Economa y Empleo
2013;15000;Ingresos de Economa y Empleo;Ingresos de Economa y Empleo
2013;1501;S.G.T. de Economa y Empleo;Secretara General Tcnica de Economa y Empleo
2013;15010;S.G.T. de Economa y Empleo;Secretara General Tcnica de Economa y Empleo
2013;1505;D.G. de Turismo;Direccin General de Turismo
2013;15050;Direccin General de Turismo;Direccin General de Turismo
2013;1506;Direccin General de Economa;Direccin General de Economa
2013;15060;Direccin General de Economa;Direccin General de Economa
2013;1507;Direccin General de Trabajo;Direccin General de Trabajo
2013;15070;Direccin General de Trabajo;Direccin General de Trabajo
2013;16;Sanidad, Bienestar Social y Familia;Sanidad, Bienestar Social y Familia
2013;1600;Ingresos Sanidad, B. Social y Familia;Ingresos de Sanidad, Bienestar Social y Familia
2013;16000;Ingresos Sanidad, B. Social y Familia;Ingresos de Sanidad, Bienestar Social y Familia
2013;1601;S.G.T. de Sanidad, B. Social y Familia;Secretara General Tcnica de Sanidad, Bienestar Social y Familia
2013;16010;S.G.T. de Sanidad, B. Social y Familia;Secretara General Tcnica de Sanidad, Bienestar Social y Familia
2013;1602;D.G. de Planificacin y Aseguramiento;Direccin General de Planificacin y Aseguramiento
2013;16020;D.G. de Planificacin y Aseguramiento;Direccin General de Planificacin y Aseguramiento
2013;1603;Direccin General de Consumo;Direccin General de Consumo
2013;16030;Direccin General de Consumo;Direccin General de Consumo
2013;1604;Direccin General de Salud Pblica;Direccin General de Salud Pblica
2013;16040;Direccin General de Salud Pblica;Direccin General de Salud Pblica
2013;1605;D.G. de Calidad y Atencin al Usuario;Direccin General de Calidad y Atencin al Usuario
2013;16050;D.G. de Calidad y Atencin al Usuario;Direccin General de Calidad y Atencin al Usuario
2013;1606;D.G. de Familia;Direccin General de Familia
2013;16060;D.G. de Familia;Direccin General de Familia
