EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2013;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2.449.891,22
2013;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;263.598,86
2013;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;145.184,76
2013;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;167.792,38
2013;01010;1111;120000;91002;Sueldos de Personal Funcionario;1.461.379,08
2013;01010;1111;120005;91002;Trienios de Personal Funcionario;595.670,20
2013;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;540.542,28
2013;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;662.277,36
2013;01010;1111;121001;91002;Complemento específico de Personal Funcionario;596.927,16
2013;01010;1111;122002;91002;Otras retribuciones en especie;125.000,00
2013;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;96.070,80
2013;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;41.914,26
2013;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;30.793,38
2013;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;60.334,08
2013;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;13.241,28
2013;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;12.800,54
2013;01010;1111;150000;91002;Productividad fija de Funcionarios;190.873,68
2013;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;18.050,00
2013;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;950,00
2013;01010;1111;160000;91002;Seguridad social;1.411.193,96
2013;01010;1111;160001;91002;MUFACE;14.786,24
2013;01010;1111;160009;91002;Otras cuotas sociales;2.457,42
2013;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;10.000,00
2013;01010;1111;161001;91002;Economatos y comedores. Funcionarios y no Laboral;61.750,00
2013;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;16.000,00
2013;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;285,00
2013;01010;1111;162001;91002;Economatos y comedores de Personal Laboral;1.140,00
2013;01010;1111;162009;91002;Otros gastos sociales de Personal Laboral;114,00
2013;01010;1111;165000;91002;Fondo de Acción Social;103.829,24
2013;01010;1111;203000;91002;Arrendamientos maquinaria, instalación y utillaje;2.000,00
2013;01010;1111;206000;91002;Arrendamientos de equipos procesos de información;210.983,73
2013;01010;1111;212000;91002;Rep. y conservación edificios y otras construcc.;150.000,00
2013;01010;1111;213000;91002;Rep. y conserv. maquinaria,instalaciones,utillaje;100.000,00
2013;01010;1111;214000;91002;Reparación y conservación material de transporte;8.000,00
2013;01010;1111;215000;91002;Reparación y conservación de mobiliario y enseres;15.000,00
2013;01010;1111;216000;91002;Rep. y conserv. equipos procesos de información;109.315,00
2013;01010;1111;220000;91002;Ordinario no inventariable;20.000,00
2013;01010;1111;220001;91002;Mobiliario y enseres;10.000,00
2013;01010;1111;220002;91002;Prensa, revistas y publicaciones periódicas;135.410,00
2013;01010;1111;220003;91002;Libros y otras publicaciones;131.230,00
2013;01010;1111;220004;91002;Material informático;10.000,00
2013;01010;1111;220009;91002;Otro material de oficina;1.000,00
2013;01010;1111;221000;91002;Energía eléctrica;350.000,00
2013;01010;1111;221001;91002;Agua;1.000,00
2013;01010;1111;221003;91002;Combustibles;12.000,00
2013;01010;1111;221004;91002;Vestuario;15.600,00
2013;01010;1111;221009;91002;Otros suministros;35.000,00
2013;01010;1111;222000;91002;Telefónicas;230.808,48
2013;01010;1111;222001;91002;Postales;15.000,00
2013;01010;1111;222002;91002;Telegráficas;600,00
2013;01010;1111;222009;91002;Otras comunicaciones;20.000,00
2013;01010;1111;223000;91002;Transporte;2.000,00
2013;01010;1111;224001;91002;Primas de vehículos;6.000,00
2013;01010;1111;224002;91002;Primas de otro inmovilizado;16.000,00
2013;01010;1111;225000;91002;Tributos locales;4.500,00
2013;01010;1111;226001;91002;Atenciones protocolarias y representativas;128.000,00
2013;01010;1111;226002;91002;Gastos de divulgación y promoción;282.000,00
2013;01010;1111;226005;91002;Reuniones y conferencias;50.000,00
