EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;G;1;;;;Gastos de Personal;Gastos de Personal
2016;G;2;;;;Gtos.Bienes Corr. y Serv.;Gastos en Bienes Corrientes y Servicios
2016;G;3;;;;Gastos Financieros;Gastos Financieros
2016;G;4;;;;Transferencias Corrientes;Transferencias Corrientes
2016;G;5;;;;Fondo Contingencia;Fondo de Contingencia de Ejecucin Presupuestaria
2016;G;6;;;;Inversiones Reales;Inversiones Reales
2016;G;7;;;;Transferencias de Capital;Transferencias de Capital
2016;G;8;;;;Activos Financieros;Activos Financieros
2016;G;9;;;;Pasivos Financieros;Pasivos Financieros
2016;G;1;10;;;Altos Cargos;Altos Cargos
2016;G;1;11;;;Person. Eventual Gabinete;Personal Eventual de Gabinete
2016;G;1;12;;;Funcionarios;Funcionarios
2016;G;1;13;;;Laborales;Laborales
2016;G;1;14;;;Otro personal;Otro personal
2016;G;1;15;;;Incentivos al rendimiento;Incentivos al rendimiento
2016;G;1;16;;;Cuotas sociales empleador;Cuotas, prest. y gtos soc. a cargo del empleador
2016;G;1;17;;;Gtos personal distribuir;Gastos de personal a distribuir
2016;G;1;18;;;Pers. Instit. Sanitarias;Personal de Instituciones Sanitarias
2016;G;2;20;;;Arrendamientos;Arrendamientos
2016;G;2;21;;;Reparacin y conservacin;Reparacin y conservacin
2016;G;2;22;;;Material, suminis.y otros;Material, suministros y otros
2016;G;2;23;;;Indemnizac. por servicio;Indemnizaciones por razn del servicio
2016;G;2;24;;;Servicios nuevos;Servicios nuevos
2016;G;2;25;;;Otr gtos b.corrient y ser;Otros gastos en bienes corrientes y servicios
2016;G;2;26;;;Serv.Asist. medios ajenos;Servicios asistenciales con medios ajenos
2016;G;3;30;;;De deuda interior;De deuda interior
2016;G;3;31;;;De prstamos del interior;De prstamos del interior
2016;G;3;32;;;De prstamos del exterior;De prstamos del exterior
2016;G;3;35;;;Depsitos,fianzas,avales;De depsitos, fianzas y avales
2016;G;3;39;;;Otro prstamos y anticip.;Otros prstamos y anticipos
2016;G;4;40;;;A la Admn del Estado;A la Administracin del Estado
2016;G;4;41;;;A Organismos Autnomos;A Organismos Autnomos
2016;G;4;42;;;A la Seguridad Social;A la Seguridad Social
2016;G;4;44;;;A Empr. y Entes Pblicos;A Empresas Pblicas y otros Entes Pblicos
2016;G;4;45;;;A Comunidades Autnomas;A Comunidades Autnomas
2016;G;4;46;;;A Corporaciones Locales;A Corporaciones Locales
2016;G;4;47;;;A Empresas Privadas;A Empresas Privadas
2016;G;4;48;;;A fam,ins.sin fines lucro;A familias e instituciones sin fines de lucro
2016;G;4;49;;;Al Exterior;Al Exterior
2016;G;5;50;;;Fondo Contingencia;Fondo de Contingencia de Ejecucin Presupuestaria
2016;G;6;60;;;Inversiones Reales;Inversiones Reales
2016;G;7;70;;;A la Admn del Estado;A la Administracin del Estado
2016;G;7;71;;;A Organismos Autnomos;A Organismos Autnomos
2016;G;7;72;;;A la Seguridad Social;A la Seguridad Social
2016;G;7;74;;;A Empr. y Entes Pblicos;A Empresas Pblicas y otros Entes Pblicos
2016;G;7;75;;;A Comunidades Autnomas;A Comunidades Autnomas
