EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;G;1;;;UNIﾓN EUROPEA;UNIﾓN EUROPEA
2016;G;3;;;ADMINISTR. CENTRAL;ADMINISTRACIﾓN CENTRAL
2016;G;5;;;OTRAS ADMINISTRACIONES PﾚBLICAS;OTRAS ADMINISTRACIONES PﾚBLICAS
2016;G;7;;;ENTES PRIVADOS;ENTES PRIVADOS
2016;G;9;;;RECURSOS PROPIOS;RECURSOS PROPIOS
2016;G;1;11;;FONDO SOCIAL EUROPEO;FONDO SOCIAL EUROPEO
2016;G;1;12;;FEAGA  - FEADER;FEAGA  - FEADER
2016;G;1;13;;FEOGA ORIENTACIﾓN;FEOGA ORIENTACIﾓN
2016;G;1;14;;F.E.D.E.R.;F.E.D.E.R.
2016;G;1;15;;IFOP - FEP;INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
2016;G;1;16;;FONDOS DE COHESIﾓN;FONDOS DE COHESIﾓN
2016;G;1;19;;OTRA FINANCIACIﾓN EUROPEA;OTRA FINANCIACIﾓN EUROPEA
2016;G;3;31;;Mｺ JUSTICIA;Mｺ JUSTICIA
2016;G;3;32;;PLANES ESPECﾍFICOS;PLANES ESPECﾍFICOS
2016;G;3;33;;CONF SECT DE EMPLEO;C.S. DE EMPLEO
2016;G;3;34;;CONF SECT DE AGRIC.;C.S. DE AGRICULTURA
2016;G;3;35;;CONF SECT DE S.SOC.;C.S. DE SERV. SOCIALES
2016;G;3;36;;CONF SECT DE M.AMB.;C.S. DE MEDIO AMBIENTE
2016;G;3;39;;OTR SUBV. ADM.CENTR.;OTRAS SUBVENCIONES DE LA ADMINISTRACIﾓN CENTRAL
2016;G;5;51;;DIPUTACIONES PROVINCIALES;DIPUTACIONES PROVINCIALES
2016;G;5;52;;ADMNES. COMARCALES;ADMINISTRACIONES COMARCALES
2016;G;5;53;;AYUNTAMIENTOS;AYUNTAMIENTOS
2016;G;5;55;;C.A. ARAGﾓN;COMUNIDAD AUTﾓNOMA DE ARAGﾓN
2016;G;5;59;;ONU;ORGANIZACIﾓN NACIONES UNIDAS
2016;G;7;71;;ENTES PRIV.FINAN.;ENTES PRIVADOS FINANCIEROS
2016;G;7;72;;ENTES PRIV.NO FINAN.;ENTES PRIVADOS NO FINANCIEROS
2016;G;9;91;;RECURSOS PROPIOS;RECURSOS PROPIOS
2016;G;1;11;11099;FSE P. OPERAT. ANTER 2007;FSE PROG. OPERATIVOS ANTERIORES 2007
2016;G;1;11;11101;PROG.OP. FSE 2007-2013;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
2016;G;1;11;11201;PROG.OP. FSE 2014-2020;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
2016;G;1;12;12101;FEAGA GARANTﾍA;FEAGA  GARANTﾍA
2016;G;1;12;12102;FEADER 2007-2013;FEADER
2016;G;1;12;12202;FEADER 2014-2020;FEADER 2014-2020
2016;G;1;14;14099;FEDER P.OPERA. ANTER 2007;FEDER PROG. OPERATIVOS ANTERIORES 2007
2016;G;1;14;14101;PROG.OP. FEDER 2007-2013;PROGRAMA OPERATIVO FEDER 2007-2013
2016;G;1;14;14102;PROG. COOP. TRANSFRONTERI;PROGRAMA DE COOPERACIﾓN TRANSFRONTERIZA
2016;G;1;14;14103;FEDER 2007-2013 PROY HITO;Programa Operativo FEDER 2007-2013 proyecto HITO
