EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;0;;;;Deuda Pblica;Deuda Pblica
2016;1;;;;Servcios Carcter General;Servicios de Carcter General
2016;3;;;;Seg Protecc y Prom Social;Seguridad, Proteccin y Promocin Social
2016;4;;;;Prod.Bienes Pb. c.social;Produccin de Bienes Pblicos de Carcter Social
2016;5;;;;Prod.Bien P carac.econom.;Producc. de Bienes Pblicos de Carcter Econmico
2016;6;;;;Reg Econom Carct General;Regulacin Econmica de Carcter General
2016;7;;;;Reg Econ Sect Productivos;Regulacin Econmica de Sectores Productivos
2016;9;;;;Transfer a otras AA.PP.;Transferencias a otras Administraciones Pblicas
2016;0;1;;;Deuda Pblica;Deuda Pblica
2016;1;11;;;Alta Direccin C.A. y Gob;Alta Direccin de la C.A. y del Gobierno
2016;3;31;;;Seg. y Proteccin Social;Seguridad y Proteccin Social
2016;4;41;;;Sanidad;Sanidad
2016;5;51;;;Infraestructuras Bsicas;Infraestructuras Bsicas y del Transporte
2016;6;61;;;Act Econmicas Generales;Actuaciones Econmicas Generales
2016;7;71;;;Agricultura y Ganadera;Agricultura y Ganadera
2016;9;91;;;Transfer AA.PP. Territ;Transferencias a AA.PP. Territoriales
2016;1;12;;;Administracin General;Administracin General
2016;1;13;;;Rel. Ext. y Coop. Intern.;Relaciones Exteriores y Cooperacin Internacional
2016;1;14;;;Justicia;Justicia
2016;3;32;;;Promocin Social;Promocin Social
2016;4;42;;;Educacin;Educacin
2016;4;43;;;Vivienda y Urbanismo;Vivienda y Urbanismo
2016;4;44;;;Bienestar Comunitario;Bienestar Comunitario
2016;4;45;;;Cultura;Cultura
2016;4;46;;;Otros Srvcios Com. y Soc.;Otros Servicios Comunitarios y Sociales
2016;5;53;;;Infraestructuras Agrarias;Infraestructuras Agrarias
2016;5;54;;;Invest Cient, Tc y Aplic;Investigacin Cientfica, Tcnica y Aplicada
