EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2016;01010;1111;100000;91002;Retribuciones básicas de Altos Cargos;2684202,85
2016;01010;1111;100001;91002;Otras remuneraciones de Altos Cargos;297969
2016;01010;1111;110000;91002;Retribuciones básicas Pers. Eventual de Gabinete;117622,12
2016;01010;1111;110001;91002;Otras remuneraciones de Pers. Eventual de Gabinete;132449,24
2016;01010;1111;120000;91002;Sueldos de Personal Funcionario;1463114,04
2016;01010;1111;120005;91002;Trienios de Personal Funcionario;632347,74
2016;01010;1111;120006;91002;Pagas extraordinarias de Personal Funcionario;548205,18
2016;01010;1111;121000;91002;Complemento de destino de Personal Funcionario;662460,48
2016;01010;1111;121001;91002;Complemento específico de Personal Funcionario;594051,96
2016;01010;1111;122002;91002;Otras retribuciones en especie;110000
2016;01010;1111;130000;91002;Salario base de Personal Laboral Fijo;96070,8
2016;01010;1111;130001;91002;Antigüedad de Personal Laboral Fijo;22774,68
2016;01010;1111;130002;91002;Pagas extraordinarias de Personal Laboral Fijo;28788,18
2016;01010;1111;130003;91002;Otras remuneraciones de Personal Laboral Fijo;56025,6
2016;01010;1111;131000;91002;Salario base de Personal Laboral Eventual;13241,28
2016;01010;1111;131001;91002;Otras remuneraciones de Personal Laboral Eventual;14092,46
2016;01010;1111;150000;91002;Productividad fija de Funcionarios;227056,92
2016;01010;1111;151000;91002;Gratificaciones de Personal Funcionario;18050
2016;01010;1111;151001;91002;Gratificaciones de Personal no Funcionario;950
2016;01010;1111;160000;91002;Seguridad social;1621841,65
2016;01010;1111;161000;91002;Formación y perfeccion. Funcionarios y no Laboral;5000
2016;01010;1111;161009;91002;Otros Gtos Sociales de Funcionarios y no Laborales;16320
2016;01010;1111;162000;91002;Formación y perfeccionamiento de Personal Laboral;285
2016;01010;1111;162009;91002;Otros gastos sociales de Personal Laboral;114
2016;01010;1111;165000;91002;Fondo de Acción Social;103829,24
