EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2016;12500;100000;91003;Tarifa Autonómica del I.R.P.F.;1143662618
2016;12500;110000;91003;Sobre adquisiciones por herencia o legado;123000000
2016;12500;110003;91003;Donaciones;7400000
2016;12500;111000;91003;Sobre el patrimonio neto de las personas físicas;44277500
2016;12500;115000;91003;Impuestos Depósitos Entidades de Crédito;10200000
2016;12500;200000;91003;Sobre Transmisiones Patrimoniales Onerosas;136900000
2016;12500;200001;91003;Sobre Operaciones Societarias;1200000
2016;12500;200002;91003;Sobre Transmisiones de vehículos;4800000
2016;12500;201000;91003;Efectos timbrados y otros;59650000
2016;12500;201001;91003;Exceso letras de cambio;50000
2016;12500;201002;91003;Reintegros a metálico;2100000
2016;12500;210001;91003;I.V.A. Sobre Operaciones Internas;991319312
2016;12500;220000;91003;Sobre el alcohol y bebidas derivadas;11758268
2016;12500;220001;91003;Sobre Cerveza;5263373
2016;12500;220003;91003;Sobre labores de tabaco;131763456
2016;12500;220005;91003;Sobre determinados medios de transporte;7000000
2016;12500;220006;91003;Sobre productos intermedios;323704
2016;12500;220007;91003;Sobre energía (electricidad);61660690
2016;12500;220008;91003;Sobre hidrocarburos;304250516
2016;12500;220049;91003;Tramo autonómico s/hidrocarburos;18900000
2016;12500;231000;91003;S/ sobre grandes áreas de venta;8700000
2016;12500;232000;91003;S/ Emisiones contaminantes;870000
2016;12500;233000;91003;S/ Tendidos aéreos;1750000
2016;12500;234000;91003;S/ aprovechamiento hidroeléctrico;12600000
2016;12500;235000;91003;S/ líneas de alta tensión;1575000
2016;12500;240000;91003;Casinos;300000
2016;12500;240001;91003;Bingos;12000000
2016;12500;240002;91003;Máquinas recreativas;24250000
2016;12500;240003;91003;"Loterías,rifas,boletos y combinaciones aleatorias";1850000
2016;12500;240004;91003;Bingo Electrónico;200000
2016;12500;250000;91003;Lotería on line;1400000
2016;12500;300050;91003;Venta de Bienes de Cortes de Aragón;20000
2016;12500;301006;91003;"Venta de Public de Educ., U., C. y Deporte (No ope";30000
2016;12500;301050;91003;Venta de Publicac. de Cortes de Aragón;10000
2016;12500;302000;91003;Venta de cartones de bingo;290000
2016;12500;310050;91003;Entradas Cortes de Aragón;150000
2016;12500;319000;91003;Prestación Serv. de Presidencia y Justicia (No ope;130000
2016;12500;319006;91003;"Prestación Serv. de Educ., Univ, Cult. y Dpte (No";2470000
2016;12500;319103;91003;Prestación de servicios en guarderías;890000
2016;12500;319111;91003;Cuotas alumnos Inst. Formación Agroambiental;15800
2016;12500;319116;91003;Prestación de Servicios en Residencias;100000
2016;12500;319118;91003;Prestación Servicios RACI;17900
2016;12500;319321;91003;Transporte Sanitario por Helicóptero;120000
2016;12500;329001;91003;Tasa 01- Dirección e inspección de obras;1215000
2016;12500;329003;91003;"Tasa 03- Serv.admvos, redacc. informes,activ. fac.";40740
2016;12500;329004;91003;Tasa 04- Por Autorizacones Espectáculos Públicos;20000
2016;12500;329005;91003;Tasa 05-S. Mat. orde. transp. terr carretera;1350000
2016;12500;329007;91003;Tasa 07-Serv. Exped. cédula habitabilidad;1200
2016;12500;329010;91003;Tasa 10-S. facultativos agronómicos;2000
2016;12500;329011;91003;Tasa 11-Servicios  facultativos veterinarios;700000
2016;12500;329012;91003;Tasa 12-Ins. y ctroles sanitarios  anim y sus prod;320000
2016;12500;329013;91003;"Tasa 13-Aut., Inspec., materia centros sanitarios";200000
2016;12500;329014;91003;Tasa 14-Ord. activ. indust. energ. metrol. mineras;1542017,5
2016;12500;329015;91003;Tasa 15-Serv. exped. titulos académicos y profesio;520000
2016;12500;329017;91003;"Tasa 17-S. facul. montes, forestales y v. pecuaria";380000
2016;12500;329019;91003;Tasa 19-S. Adtvod y Técnicos de juego;650000
2016;12500;329020;91003;"Tasa 20-Aut, Insp y actu. cen y est. farmaceúticos";45000
2016;12500;329021;91003;Tasa 21-Aut. Insp. centros Servicios Sociales;30000
2016;12500;329022;91003;Tasa 22-Inserción anuncios en el BOA;280000
2016;12500;329023;91003;"Tasa 23-Inscripción y Publicidad Asoc,Fun,CP y CCA";30000
2016;12500;329032;91003;Tasa 32-Tasa act. serv. radiodifusión y televisión;1500
2016;12500;329037;91003;Tasa 37-Tasa dchos. de exam. pruebas de acceso FP;72000
2016;12500;329038;91003;Tasa 38- S. admtvos diligencias bastanteo de poder;7000
2016;12500;329039;91003;Tasa39-Insc pruebas obt. tit. postobligatorios;95000
2016;12500;329042;91003;Tasa 42 - Análisis e Informes del Lab. Salud Públi;40000
2016;12500;330000;91003;Precios Públicos del Laboratorio Agroalimentario;35904
2016;12500;330004;91003;Precios Públicos del Laboratorio Calidad Edificaci;7000
2016;12500;330006;91003;Instalaciones deportivas;47000
2016;12500;330007;91003;Actividades Deportivas;41000
2016;12500;330012;91003;Precios Públicos de Caza y Pesca;117000
2016;12500;380001;91003;Reintegros ej.cerrados de Hacienda y Admón Pública;9700
2016;12500;390000;91003;Costas por sentencias judiciales;147000
2016;12500;390001;91003;Daños carreteras;85000
2016;12500;395005;91003;"Multas y sanciones de Sanidad, B. Social y Familia";600000
2016;12500;395008;91003;Multas y sanciones Política Territorial e Interior;20000
2016;12500;395100;91003;Multas y sanciones;4937250
2016;12500;396003;91003;"Ing.diversos.Rec eventuales.Agricultura,Gan y M Am";200000
2016;12500;400050;91003;Fondo Suficiencia Global;241791793
2016;12500;400051;91003;Fondo de Garantía Servicios Públicos Fundamentales;145321950
2016;12500;400158;91003;Fondo de Convergencia Autonómica Liq. ejerc. 2014;81463020
2016;12500;403004;91003;Estadística agraria;70000
2016;12500;403099;34011;"Otras subvenciones de Agricultura, Gan. y M.A.";180000
2016;12500;403099;34014;"Otras subvenciones de Agricultura, Gan. y M.A.";50000
2016;12500;403099;34045;"Otras subvenciones de Agricultura, Gan. y M.A.";250265,13
2016;12500;403099;34056;"Otras subvenciones de Agricultura, Gan. y M.A.";81700,2
2016;12500;403099;34058;"Otras subvenciones de Agricultura, Gan. y M.A.";20000
2016;12500;403099;34061;"Otras subvenciones de Agricultura, Gan. y M.A.";15960
2016;12500;403099;34062;"Otras subvenciones de Agricultura, Gan. y M.A.";118370
2016;12500;404003;35005;Pensiones a ancianos y enfermos;21000
2016;12500;404020;91003;Plan Acción a favor de pers. situación dependencia;37131000
2016;12500;404021;39054;Víctimas violencia de género;150000
2016;12500;404021;39092;Víctimas violencia de género;195943
2016;12500;405001;39015;Fomento de la donación y trasplante de órganos;47800
2016;12500;405003;39018;Actuaciones en drogodependencias;470000
2016;12500;405005;39016;Junta Arbitral de Consumo;17000
2016;12500;405006;39027;Políticas de cohesión y estrategias de salud;67604
2016;12500;405007;39049;Form.Cont.Uso racional del medicamento para médic.;600000
2016;12500;420000;91003;Fondo programa de "Ahorro e incapacidad temporal";9650525,35
2016;12500;492100;14101;Programa Operativo FEDER 2007-2013;767624,64
2016;12500;492200;14201;Programa Operativo FEDER 2014-2020;50687,84
2016;12500;493100;11101;Fondo Social Europeo- Programa Operativo 2007-2013;54882,79
2016;12500;493200;11201;Fondo Social Europeo- Programa Operativo 2014-2020;17777511,93
2016;12500;496000;12101;Agricultura -Política Agraria Común;442470312,05
2016;12500;496009;12101;Agricultura- Otras subvenciones corrientes;1558965,61
2016;12500;497000;12202;Fondo Europeo Agrícola de Desarrollo Rural;6301093,62
2016;12500;499000;19001;Punto de Información Europea;25000
2016;12500;499099;19004;Otras subvenciones del exterior;8401,2
2016;12500;499099;19090;Otras subvenciones del exterior;6195460
2016;12500;520000;91003;Intereses;9633155,83
2016;12500;520050;91003;De las Cortes de Aragón;10000
2016;12500;540001;91003;Renta de Inmuebles;89409,85
2016;12500;540008;91003;Arrendamientos de locales;1000
2016;12500;540009;91003;Alquileres de viviendas;405000
2016;12500;550001;91003;Cánones de concesiones;2000000
2016;12500;552003;72013;De protección y gestión de los montes;350000
2016;12500;553000;91003;Cánones de I.T.V. privadas;4900000
2016;12500;553003;91003;"De Educación, Universidad, Cultura y Deporte";6719
2016;12500;553009;91003;Otros cánones;24550
2016;12500;559009;91003;Otros aprovechamientos;22367,12
2016;12500;590000;91003;Ingresos por viviendas de promoción pública;1050000
2016;12500;620000;91003;Venta de inmuebles;1000000
2016;12500;702001;36004;Acciones prioritarias: incendios forestales;1152112,01
2016;12500;702005;39077;Convenio Ciclo Integral del Agua;1597310
2016;12500;702009;36001;Otras subvenciones en materia de Medio Ambiente;856852,08
2016;12500;702009;36004;Otras subvenciones en materia de Medio Ambiente;575482,08
2016;12500;702009;36012;Otras subvenciones en materia de Medio Ambiente;607840,94
2016;12500;704002;39117;Plan de vivienda;13170040
2016;12500;705006;34021;Campañas de sanidad animal;535000
2016;12500;705006;34039;Campañas de sanidad animal;105000
2016;12500;705007;34025;Agrupación Defensa Sanitaria;1000
2016;12500;705008;34006;Apicultura;110000
2016;12500;705009;34005;Otras subvenciones de capital;565000
2016;12500;705009;34046;Otras subvenciones de capital;1021157,97
2016;12500;705009;34047;Otras subvenciones de capital;2752478,01
2016;12500;705009;34054;Otras subvenciones de capital;48495,89
2016;12500;705010;34026;Agrup.Tratam. Integrado Agricultura (ATRIAS);1000
2016;12500;705013;34015;Semillas y plantas de viveros;115000
