Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
133000202,509100, ,6,,8,2019
150000501,527130, ,12,,8,2019
150000511,527130, ,12,,8,2019
150000506,543180, ,15,,8,2019
162000906,543170, ,15,,8,2019
110770131,543110, ,24,,8,2019
150000506,543170, ,24,,8,2019
150000511,543120, ,24,,8,2019
150000511,94000013,S,27,,8,2019
103001501,94000055,S,30,,8,2019
150000503,527130, ,30,,8,2019
150000504,527130, ,30,,8,2019
150000507,527130, ,30,,8,2019
150000508,527130, ,30,,8,2019
156000208,543120, ,30,,8,2019
166001202,94000163,S,30,,8,2019
166001203,94000163,S,30,,8,2019
166001204,94000163,S,30,,8,2019
166001206,94000163,S,30,,8,2019
166001308,94000163,S,30,,8,2019
150000506,543120, ,36,,8,2019
168001303,94000005,S,39,,8,2019
111000116,543171, ,40,,8,2019
150001708,543190, ,40,,8,2019
150001709,545100, ,40,,8,2019
161001003,543160, ,40,,8,2019
141000402,543120, ,48,,8,2019
111000116,544200, ,50,,8,2019
111000116,581100,S,50,,8,2019
133000203,521120, ,50,,8,2019
133000204,543130, ,50,,8,2019
141700405,544110, ,50,,8,2019
150001708,533990, ,50,,8,2019
150001708,543140, ,50,,8,2019
150001713,533990, ,50,,8,2019
150001716,533990, ,50,,8,2019
152000801,527130, ,54,,8,2019
190400412,94000073,S,57,,8,2019
104000105,94000003,S,60,,8,2019
114000107,94000025,S,60,,8,2019
133000202,94000025,S,60,,8,2019
141000402,581112,S,60,,8,2019
150000503,543120, ,60,,8,2019
150000507,543120, ,60,,8,2019
156001401,94000005,S,60,,8,2019
161000215,544112, ,60,,8,2019
166000112,94000055,S,60,,8,2019
168001302,543110, ,60,,8,2019
141000401,541160, ,64,,8,2019
150000506,544112, ,66,,8,2019
166001202,94000025,S,69,,8,2019
166001206,94000025,S,69,,8,2019
141000402,581115,S,70,,8,2019
152000801,543120, ,70,,8,2019
156000208,542900, ,70,,8,2019
140001702,559900, ,72,,8,2019
150000504,543170, ,72,,8,2019
141800404,544200, ,75,,8,2019
150000511,571140, ,75,,8,2019
141000401,543140, ,80,,8,2019
150001717,524190, ,80,,8,2019
156001401,543140, ,80,,8,2019
156001402,541160, ,80,,8,2019
156001402,543120, ,80,,8,2019
161000215,543120, ,80,,8,2019
161000901,543110, ,80,,8,2019
161001003,541160, ,80,,8,2019
161001003,543120, ,80,,8,2019
163000904,541130, ,80,,8,2019
190400413,543170, ,80,,8,2019
161000215,94000073,S,81,,8,2019
150001005,527130, ,90,,8,2019
166000112,94000163,S,90,,8,2019
141000402,543190, ,96,,8,2019
141600406,545100, ,96,,8,2019
104000105,501900, ,100,,8,2019
111000116,531700, ,100,,8,2019
120000120,543150, ,100,,8,2019
133000204,542100, ,100,,8,2019
133000206,541130, ,100,,8,2019
133000207,541130, ,100,,8,2019
137000220,541130, ,100,,8,2019
140000306,541160, ,100,,8,2019
141700405,543140, ,100,,8,2019
150000510,523800, ,100,,8,2019
150001709,544115, ,100,,8,2019
150001717,544115, ,100,,8,2019
152000801,524150, ,100,,8,2019
153000701,544112, ,100,,8,2019
153000702,523800, ,100,,8,2019
153000704,523800, ,100,,8,2019
161000901,544112, ,100,,8,2019
190000113,501900, ,100,,8,2019
190400413,541120, ,100,,8,2019
190400413,543151, ,100,,8,2019
141500408,544112, ,110,,8,2019
111000116,94000005,S,120,,8,2019
150001715,531800, ,120,,8,2019
141001704,531800, ,122,,8,2019
150000501,543120, ,132,,8,2019
104000105,94000083,S,135,,8,2019
166000112,526100, ,135,,8,2019
156001307,542900, ,136,,8,2019
190000113,544112, ,140,,8,2019
123000128,543120, ,150,,8,2019
137000220,543110, ,150,,8,2019
140001703,544115, ,150,,8,2019
141400407,542100, ,150,,8,2019
150001709,524140, ,150,,8,2019
150001717,524140, ,150,,8,2019
152000801,543190, ,150,,8,2019
190600903,543110, ,150,,8,2019
125000108,94000023,S,153,,8,2019
150001709,581115,S,154,,8,2019
141001705,559900, ,155,,8,2019
120000120,543160, ,160,,8,2019
121000122,543160, ,160,,8,2019
125000108,543170, ,160,,8,2019
141000401,543160, ,160,,8,2019
156001307,543120, ,160,,8,2019
156001401,543150, ,160,,8,2019
162000907,543120, ,160,,8,2019
163000904,543110, ,160,,8,2019
110660130,94000023,S,165,,8,2019
103001502,543120, ,166,,8,2019
110660130,544112, ,180,,8,2019
133000201,541120, ,180,,8,2019
141400407,545100, ,192,,8,2019
141500408,545100, ,192,,8,2019
150001005,543120, ,192,,8,2019
150000504,544112, ,198,,8,2019
120000120,543170, ,200,,8,2019
121000122,543120, ,200,,8,2019
133000201,543110, ,200,,8,2019
133000203,543110, ,200,,8,2019
133000206,543190, ,200,,8,2019
137000221,543110, ,200,,8,2019
141000402,581114,S,200,,8,2019
156001402,541130, ,200,,8,2019
161000215,541130, ,200,,8,2019
162000907,542900, ,200,,8,2019
166001204,581113,S,200,,8,2019
190400412,543160, ,202,,8,2019
190400412,543180, ,202,,8,2019
103001502,571100, ,208,,8,2019
133000203,525100, ,220,,8,2019
110770131,543120, ,224,,8,2019
137000220,541160, ,224,,8,2019
163000904,543120, ,235,,8,2019
121000122,543190, ,240,,8,2019
123000128,543170, ,240,,8,2019
140000301,94000013,S,240,,8,2019
140000302,94000013,S,240,,8,2019
140000303,94000013,S,240,,8,2019
140000304,94000013,S,240,,8,2019
140000305,94000013,S,240,,8,2019
140000306,94000013,S,240,,8,2019
140000307,94000013,S,240,,8,2019
140000308,94000013,S,240,,8,2019
140000309,94000013,S,240,,8,2019
161000901,543120, ,240,,8,2019
166001201,543120, ,240,,8,2019
163001001,543110, ,248,,8,2019
140000301,527130, ,250,,8,2019
140000301,543165, ,250,,8,2019
140000306,527130, ,250,,8,2019
190000113,543180, ,250,,8,2019
190400413,541130, ,250,,8,2019
190600903,543120, ,250,,8,2019
190600903,543160, ,250,,8,2019
110880132,524150, ,260,,8,2019
150000508,543120, ,260,,8,2019
140000301,94000163,S,291,,8,2019
123000128,543130, ,300,,8,2019
137000221,543120, ,300,,8,2019
140000302,541160, ,300,,8,2019
140000306,94000025,S,300,,8,2019
156001401,94000153,S,300,,8,2019
166001204,581114,S,300,,8,2019
190001507,94000000,S,300,,8,2019
190600903,543130, ,300,,8,2019
190600903,543190, ,310,,8,2019
133000203,581113,S,315,,8,2019
141000401,543110, ,320,,8,2019
156001307,541160, ,320,,8,2019
156001307,543130, ,320,,8,2019
161001207,543120, ,320,,8,2019
163000904,543180, ,320,,8,2019
150000502,527130, ,330,,8,2019
190000113,94000003,S,330,,8,2019
190000113,543160, ,350,,8,2019
140000310,545100, ,360,,8,2019
156000208,543130, ,360,,8,2019
156001402,543130, ,360,,8,2019
141000402,545100, ,384,,8,2019
150001710,531800, ,390,,8,2019
110000123,543120, ,400,,8,2019
133000202,541130, ,400,,8,2019
141000401,543180, ,400,,8,2019
150001709,524150, ,400,,8,2019
151000606,543190, ,400,,8,2019
156000208,543180, ,400,,8,2019
156001401,541160, ,400,,8,2019
156001401,543120, ,400,,8,2019
161000901,543150, ,400,,8,2019
161001003,543180, ,400,,8,2019
161001207,543160, ,400,,8,2019
161001207,543170, ,400,,8,2019
166001204,581112,S,400,,8,2019
190400412,501900, ,400,,8,2019
190400412,542900, ,400,,8,2019
190600903,543180, ,400,,8,2019
151000601,94000143,S,402,,8,2019
137000220,581113,S,405,,8,2019
110660130,543180, ,410,,8,2019
166000112,581113,S,410,,8,2019
166001201,581113,S,410,,8,2019
140000310,94000013,S,420,,8,2019
161001207,94000073,S,426,,8,2019
166001205,543180, ,429,,8,2019
150000502,543120, ,432,,8,2019
110000109,521110, ,440,,8,2019
110880132,543120, ,440,,8,2019
161000215,543180, ,440,,8,2019
110990133,94000013,S,450,,8,2019
121000121,543190, ,450,,8,2019
150000508,529120, ,450,,8,2019
150001717,524150, ,450,,8,2019
152000803,543110, ,450,,8,2019
168001303,544112, ,450,,8,2019
140000309,94000063,S,471,,8,2019
141000401,543120, ,476,,8,2019
150000506,541130, ,480,,8,2019
156000208,541160, ,480,,8,2019
156001307,543160, ,480,,8,2019
140000310,544112, ,490,,8,2019
102000103,549110, ,500,,8,2019
110000123,541160, ,500,,8,2019
110000124,543120, ,500,,8,2019
120000120,529100, ,500,,8,2019
133000202,541160, ,500,,8,2019
133000203,543150, ,500,,8,2019
133000203,543171, ,500,,8,2019
133000206,543160, ,500,,8,2019
137000220,523000, ,500,,8,2019
137000221,543170, ,500,,8,2019
140000304,543165, ,500,,8,2019
140000310,527130, ,500,,8,2019
140000310,543160, ,500,,8,2019
141000401,501900, ,500,,8,2019
141200410,521110, ,500,,8,2019
141500408,543110, ,500,,8,2019
150000510,533990, ,500,,8,2019
166001103,542900, ,500,,8,2019
166001103,543170, ,500,,8,2019
190001507,525100, ,500,,8,2019
190400412,543151, ,500,,8,2019
190600903,541130, ,500,,8,2019
141000401,543130, ,504,,8,2019
141400407,544112, ,515,,8,2019
153001701,531700, ,517,,8,2019
104000105,94000065,S,519,,8,2019
110660130,94000065,S,519,,8,2019
121000100,94000065,S,519,,8,2019
125000108,94000065,S,519,,8,2019
141700405,94000065,S,519,,8,2019
156000000,94000065,S,519,,8,2019
163000000,94000065,S,519,,8,2019
190001507,94000065,S,519,,8,2019
190600903,94000065,S,519,,8,2019
120000120,544112, ,550,,8,2019
190400412,544112, ,550,,8,2019
110990133,545100, ,560,,8,2019
161000901,545100, ,560,,8,2019
163001001,541160, ,576,,8,2019
110200126,543170, ,600,,8,2019
110660130,542900, ,600,,8,2019
110770131,542100, ,600,,8,2019
110770131,542900, ,600,,8,2019
133000202,542900, ,600,,8,2019
140000302,94000025,S,600,,8,2019
140000307,541160, ,600,,8,2019
153000701,502900, ,600,,8,2019
163001001,542900, ,600,,8,2019
168001303,525500, ,600,,8,2019
190600903,543170, ,600,,8,2019
166001204,94000033,S,609,,8,2019
141000402,94000033,S,615,,8,2019
133000202,543160, ,620,,8,2019
133000203,94000143,S,630,,8,2019
120000120,543120, ,640,,8,2019
161000901,543151, ,640,,8,2019
