Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
100000100,94000023,S,14930.28,,8,2023
100000100,94000023,H,,14930.28,8,2023
100000100,94000173,H,,6892620.24,8,2023
100000100,94000173,S,6892620.24,,8,2023
100000100,94000183,S,1413698.16,,8,2023
100000100,94000183,H,,1413698.16,8,2023
101000102,414000, ,,100,8,2023
101000102,414100, ,,150,8,2023
101000102,414400, ,,50,8,2023
101000102,414700, ,,100,8,2023
101000102,416110, ,,1205.16,8,2023
101000102,448700, ,,60,8,2023
101000102,459100, ,,50,8,2023
101000102,501100, ,157431.74,,8,2023
101000102,501200, ,337608.4,,8,2023
101000102,501900, ,3600,,8,2023
101000102,502200, ,26428.07,,8,2023
101000102,503200, ,63018.18,,8,2023
101000102,503900, ,1900,,8,2023
101000102,504100, ,14652.72,,8,2023
101000102,504110, ,372.72,,8,2023
101000102,505100, ,54979.37,,8,2023
101000102,506100, ,11092.47,,8,2023
101000102,509100, ,947.82,,8,2023
101000102,511100, ,46166.98,,8,2023
101000102,514100, ,10730.76,,8,2023
101000102,515100, ,9400.68,,8,2023
101000102,523400, ,107.21,,8,2023
101000102,523500, ,2933.8,,8,2023
101000102,523800, ,160.82,,8,2023
101000102,528000, ,589.67,,8,2023
101000102,529100, ,85799.54,,8,2023
101000102,531800, ,25100,,8,2023
101000102,541130, ,16540.03,,8,2023
101000102,542100, ,214.43,,8,2023
101000102,542900, ,214.43,,8,2023
101000102,543110, ,53.61,,8,2023
101000102,543140, ,107.21,,8,2023
101000102,543160, ,643.28,,8,2023
101000102,543170, ,56980.34,,8,2023
101000102,543180, ,1822.63,,8,2023
101000102,543190, ,40268.16,,8,2023
101000102,544110, ,750.5,,8,2023
101000102,544112, ,22514.84,,8,2023
101000102,545100, ,1500.99,,8,2023
101000102,571140, ,1411.42,,8,2023
101000102,94000000,S,1370.04,,8,2023
101000102,94000001,S,23531.76,,8,2023
101000102,94000002,S,19158,,8,2023
101000102,94000003,S,2700,,8,2023
101000102,94000005,S,184507.73,,8,2023
101000102,94000011,S,9538.44,,8,2023
101000102,94000015,S,32760,,8,2023
101000102,94000023,S,5232.72,,8,2023
101000102,94000025,S,3699.96,,8,2023
101000102,94000033,S,1975.2,,8,2023
101000102,94000063,S,3430.68,,8,2023
101000102,94000065,S,696,,8,2023
101000102,94000073,S,259.2,,8,2023
101000102,94000083,S,15399.36,,8,2023
101000102,94000103,S,4498.92,,8,2023
101000102,94000133,S,22242.72,,8,2023
101000102,94000173,S,54637.56,,8,2023
102000103,416110, ,,2005.73,8,2023
102000103,448700, ,,554.4,8,2023
102000103,501100, ,2389806.09,,8,2023
102000103,501200, ,856747.09,,8,2023
