Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
120101601,461700, ,,10,8,2024
190000414,448700, ,,15,8,2024
190001507,448700, ,,15,8,2024
120201510,461500, ,,18,8,2024
110000119,448700, ,,30,8,2024
110770131,448700, ,,30,8,2024
133000207,448700, ,,30,8,2024
141200410,459100, ,,40,8,2024
102000118,448700, ,,45,8,2024
110660130,448700, ,,45,8,2024
110990133,448700, ,,45,8,2024
153001701,465100, ,,49,8,2024
101000102,414400, ,,50,8,2024
101000102,459100, ,,50,8,2024
110990133,414800, ,,50,8,2024
110990133,441100, ,,50,8,2024
110990133,442100, ,,50,8,2024
113000114,446100, ,,50,8,2024
121000121,459100, ,,50,8,2024
133000201,432100, ,,50,8,2024
140000301,456100, ,,50,8,2024
140000301,459100, ,,50,8,2024
140000302,459100, ,,50,8,2024
140000303,459100, ,,50,8,2024
140000304,459100, ,,50,8,2024
140000305,459100, ,,50,8,2024
140000306,459100, ,,50,8,2024
140000307,459100, ,,50,8,2024
140000310,459100, ,,50,8,2024
141000401,412100, ,,50,8,2024
141000401,414700, ,,50,8,2024
141000401,432200, ,,50,8,2024
141000401,446100, ,,50,8,2024
141000402,414800, ,,50,8,2024
141300409,414100, ,,50,8,2024
141300409,414700, ,,50,8,2024
141300409,414800, ,,50,8,2024
141300409,448400, ,,50,8,2024
141400407,456500, ,,50,8,2024
141800404,414000, ,,50,8,2024
141800404,414800, ,,50,8,2024
151000606,461700, ,,50,8,2024
152000803,459100, ,,50,8,2024
156001401,432100, ,,50,8,2024
102000103,94000083,H,,51,8,2024
101000102,448700, ,,60,8,2024
110880132,448700, ,,60,8,2024
113000114,448700, ,,60,8,2024
141700405,416150, ,,60,8,2024
151000606,448700, ,,63,8,2024
161001207,448700, ,,63,8,2024
110990133,446100, ,,75,8,2024
101000102,414000, ,,100,8,2024
101000102,414700, ,,100,8,2024
110000109,442100, ,,100,8,2024
110000109,459100, ,,100,8,2024
110660130,442100, ,,100,8,2024
137001720,414700, ,,100,8,2024
140000305,446100, ,,100,8,2024
141400407,459100, ,,100,8,2024
162000907,448800, ,,100,8,2024
190400412,414700, ,,100,8,2024
110990133,414700, ,,125,8,2024
140000302,416170, ,,130,8,2024
101000102,414100, ,,150,8,2024
110770131,446100, ,,150,8,2024
110770131,448800, ,,150,8,2024
150001715,469110, ,,166,8,2024
133000201,456200, ,,200,8,2024
140000310,448100, ,,200,8,2024
150000508,421100, ,,200,8,2024
150000508,431100, ,,200,8,2024
150000508,446100, ,,200,8,2024
150000510,414800, ,,200,8,2024
156001307,456100, ,,200,8,2024
150001713,465100, ,,262,8,2024
163000904,448700, ,,279,8,2024
