Profitcenter	Sachkonto	S/H	costs	earning	Version	Planjahr
100000100	94000023	H		14930.28	8	2024
100000100	94000023	S	14930.28		8	2024
100000100	94000173	H		7020068.04	8	2024
100000100	94000173	S	7020068.04		8	2024
100000100	94000183	S	1413698.16		8	2024
100000100	94000183	H		1413698.16	8	2024
101000102	414000	 		100	8	2024
101000102	414100	 		150	8	2024
101000102	414400	 		50	8	2024
101000102	414700	 		100	8	2024
101000102	416110	 		1037.85	8	2024
101000102	448700	 		60	8	2024
101000102	459100	 		50	8	2024
101000102	501100	 	159006.05		8	2024
101000102	501200	 	340984.49		8	2024
101000102	501900	 	3600		8	2024
101000102	502200	 	26692.36		8	2024
101000102	503200	 	63648.36		8	2024
101000102	503900	 	1900		8	2024
101000102	504100	 	14951.28		8	2024
101000102	504110	 	368.88		8	2024
101000102	505100	 	55722.53		8	2024
101000102	506100	 	11242.56		8	2024
101000102	509100	 	957.29		8	2024
101000102	511100	 	46409.52		8	2024
101000102	514100	 	10893.96		8	2024
101000102	515100	 	9559.92		8	2024
101000102	523400	 	108.29		8	2024
101000102	523500	 	3013.14		8	2024
101000102	523800	 	162.43		8	2024
101000102	528000	 	595.57		8	2024
101000102	529100	 	85696.1		8	2024
101000102	531800	 	25100		8	2024
101000102	541130	 	16605.43		8	2024
101000102	542100	 	216.57		8	2024
101000102	542900	 	216.57		8	2024
101000102	543110	 	54.14		8	2024
101000102	543140	 	108.29		8	2024
101000102	543160	 	649.72		8	2024
101000102	543170	 	57007.15		8	2024
101000102	543180	 	1840.86		8	2024
101000102	543190	 	24348.44		8	2024
101000102	544110	 	758		8	2024
101000102	544112	 	22739.99		8	2024
101000102	545100	 	1516		8	2024
101000102	571140	 	1356.61		8	2024
101000102	94000000	S	1370.04		8	2024
101000102	94000001	S	23771.16		8	2024
101000102	94000002	S	19597.2		8	2024
101000102	94000003	S	2700		8	2024
101000102	94000005	S	187105.23		8	2024
101000102	94000011	S	9684		8	2024
101000102	94000015	S	32760		8	2024
101000102	94000023	S	5232.72		8	2024
101000102	94000025	S	3699.96		8	2024
101000102	94000033	S	1984.32		8	2024
101000102	94000063	S	3430.68		8	2024
101000102	94000065	S	696		8	2024
101000102	94000073	S	259.2		8	2024
101000102	94000083	S	15399.36		8	2024
101000102	94000103	S	4498.92		8	2024
101000102	94000133	S	23578.32		8	2024
101000102	94000173	S	55643.76		8	2024
102000103	416110	 		1974.48	8	2024
102000103	448700	 		554.4	8	2024
102000103	501100	 	2415255.74		8	2024
102000103	501200	 	865314.58		8	2024
102000103	501900	 	4331.43		8	2024
102000103	502200	 	66951.22		8	2024
102000103	503200	 	169897.64		8	2024
102000103	503900	 	974.57		8	2024
102000103	504100	 	137837.4		8	2024
102000103	504110	 	3069.6		8	2024
102000103	505100	 	846409.2		8	2024
102000103	506100	 	170772.61		8	2024
102000103	509100	 	1820.8		8	2024
102000103	511100	 	704948.18		8	2024
102000103	514100	 	165477.12		8	2024
102000103	515100	 	145212.18		8	2024
102000103	529100	 	53128.12		8	2024
102000103	541130	 	4114.86		8	2024
102000103	541160	 	119.11		8	2024
102000103	542100	 	5739.14		8	2024
102000103	543110	 	216.57		8	2024
102000103	543120	 	357.8		8	2024
102000103	543160	 	6363.61		8	2024
102000103	543170	 	14346.16		8	2024
102000103	543180	 	5121.91		8	2024
102000103	543190	 	14889.28		8	2024
102000103	545100	 	2707.14		8	2024
102000103	549110	 	500		8	2024
102000103	571140	 	2177.61		8	2024
102000103	94000000	S	7284.96		8	2024
102000103	94000000	H		97.68	8	2024
102000103	94000001	S	50239.61		8	2024
102000103	94000002	H		40.92	8	2024
102000103	94000002	S	105821.13		8	2024
102000103	94000003	S	63630.36		8	2024
102000103	94000005	H		1503455.29	8	2024
102000103	94000005	S	39.96		8	2024
102000103	94000011	H		116.88	8	2024
102000103	94000011	S	38230.92		8	2024
102000103	94000013	S	620.04		8	2024
102000103	94000015	H		38698.2	8	2024
102000103	94000015	S	286440		8	2024
102000103	94000023	H		484.08	8	2024
102000103	94000023	S	53530.08		8	2024
102000103	94000025	H		24.48	8	2024
102000103	94000025	S	55105.08		8	2024
102000103	94000033	H		386.04	8	2024
102000103	94000033	S	8275.92		8	2024
102000103	94000063	H		571.68	8	2024
102000103	94000063	S	21061.44		8	2024
102000103	94000065	S	2595		8	2024
102000103	94000073	S	1400.88		8	2024
102000103	94000073	H		37.56	8	2024
102000103	94000083	H		51	8	2024
102000103	94000083	S	10661.04		8	2024
102000103	94000103	H		1119.96	8	2024
102000103	94000103	S	26437.56		8	2024
102000103	94000133	S	114747.6		8	2024
102000103	94000143	S	1190.04		8	2024
102000103	94000163	S	9107.04		8	2024
102000103	94000173	S	626779.8		8	2024
102000103	94000173	H		11854.44	8	2024
102000118	448700	 		45	8	2024
102000118	501100	 	172983.39		8	2024
102000118	501200	 	529471.91		8	2024
102000118	502200	 	39961.93		8	2024
102000118	503200	 	101183.87		8	2024
102000118	504100	 	11279.04		8	2024
102000118	504110	 	324.72		8	2024
102000118	505100	 	60620.87		8	2024
102000118	506100	 	12230.88		8	2024
102000118	509100	 	1481.39		8	2024
102000118	511100	 	50489.27		8	2024
102000118	514100	 	11851.68		8	2024
102000118	515100	 	10400.28		8	2024
102000118	542100	 	1378500		8	2024
102000118	543170	 	6316.67		8	2024
102000118	549120	 	1180000		8	2024
102000118	94000000	S	2409.6		8	2024
102000118	94000001	S	44901.96		8	2024
102000118	94000002	S	25475.61		8	2024
102000118	94000003	S	320.04		8	2024
102000118	94000005	S	4828082.79		8	2024
102000118	94000011	S	13711.8		8	2024
102000118	94000015	S	190920		8	2024
102000118	94000023	S	317.88		8	2024
102000118	94000033	S	7211.4		8	2024
102000118	94000063	S	9267.6		8	2024
102000118	94000073	S	337.2		8	2024
102000118	94000083	S	19258.56		8	2024
102000118	94000133	S	81738		8	2024
102000118	94000173	S	290433		8	2024
103001500	94000000	H		10099.92	8	2024
103001500	94000000	S	10099.92		8	2024
103001500	94000001	S	7758		8	2024
103001500	94000001	H		7758	8	2024
103001500	94000002	H		7838.64	8	2024
103001500	94000002	S	7838.64		8	2024
103001500	94000003	S	3680.04		8	2024
103001500	94000003	H		3680.04	8	2024
103001500	94000005	S	187105.23		8	2024
103001500	94000005	H		187105.23	8	2024
103001500	94000011	H		3459.6	8	2024
103001500	94000011	S	3459.6		8	2024
103001500	94000023	S	6947.4		8	2024
103001500	94000023	H		6947.4	8	2024
103001500	94000025	H		3600	8	2024
103001500	94000025	S	3600		8	2024
103001500	94000033	H		895.08	8	2024
103001500	94000033	S	895.08		8	2024
103001500	94000063	H		2519.64	8	2024
103001500	94000063	S	2519.64		8	2024
103001500	94000073	S	103.8		8	2024
103001500	94000073	H		103.8	8	2024
103001500	94000083	H		2559.84	8	2024
103001500	94000083	S	2559.84		8	2024
103001500	94000103	H		1942.56	8	2024
103001500	94000103	S	1942.56		8	2024
103001500	94000173	H		4477.44	8	2024
103001500	94000173	S	4477.44		8	2024
103001501	414200	 		7500	8	2024
103001501	414400	 		5000	8	2024
103001501	414700	 		4000	8	2024
103001501	416110	 		3035.3	8	2024
103001501	446100	 		43068	8	2024
103001501	448200	 		131008	8	2024
103001501	448700	 		72792.92	8	2024
103001501	458910	 		62300	8	2024
103001501	501100	 	346880.68		8	2024
103001501	501200	 	609144.83		8	2024
103001501	502200	 	58591.64		8	2024
103001501	503200	 	137981.29		8	2024
103001501	504100	 	25936.56		8	2024
103001501	504110	 	654.48		8	2024
103001501	505100	 	121561.92		8	2024
103001501	506100	 	24526.56		8	2024
103001501	509100	 	2319.76		8	2024
103001501	511100	 	101245.16		8	2024
103001501	514100	 	23765.94		8	2024
103001501	515100	 	20855.52		8	2024
103001501	529100	 	305197.66		8	2024
103001501	531200	 	23750		8	2024
103001501	531800	 	161500		8	2024
103001501	541130	 	22491.42		8	2024
103001501	542900	 	433.14		8	2024
103001501	543120	 	1357		8	2024
103001501	543150	 	8062.28		8	2024
103001501	543151	 	5541.43		8	2024
103001501	543160	 	8251.37		8	2024
103001501	543170	 	25494.75		8	2024
103001501	543180	 	3465.14		8	2024
103001501	543190	 	33733.3		8	2024
103001501	544112	 	101798		8	2024
103001501	545100	 	130113.86		8	2024
103001501	549162	 	9745.71		8	2024
103001501	549163	 	62300		8	2024
103001501	571140	 	4162.36		8	2024
103001501	94000000	S	2774.52		8	2024
103001501	94000001	S	48171.77		8	2024
103001501	94000002	S	34098		8	2024
103001501	94000003	S	865.08		8	2024
103001501	94000005	S	44064.72		8	2024
103001501	94000011	S	19398.41		8	2024
103001501	94000015	S	60960		8	2024
103001501	94000023	S	1819.44		8	2024
103001501	94000025	S	3901.44		8	2024
103001501	94000033	S	3513.12		8	2024
103001501	94000055	S	30		8	2024
103001501	94000063	S	5464.68		8	2024
103001501	94000073	S	451.32		8	2024
103001501	94000083	S	3566.52		8	2024
103001501	94000103	S	18186.48		8	2024
103001501	94000133	S	55031.52		8	2024
103001501	94000163	S	500.04		8	2024
103001501	94000173	S	46776.84		8	2024
103001501	94000183	S	295305.12		8	2024
103001502	416110	 		1977.72	8	2024
103001502	446100	 		195925.65	8	2024
103001502	448700	 		38.04	8	2024
103001502	458900	 		143040.72	8	2024
103001502	501100	 	116279.09		8	2024
103001502	501200	 	563426.43		8	2024
103001502	501900	 	35000		8	2024
103001502	502200	 	43609.18		8	2024
103001502	502900	 	2500		8	2024
103001502	503200	 	108982.25		8	2024
103001502	503900	 	9000		8	2024
103001502	504100	 	9780.36		8	2024
103001502	504110	 	462.72		8	2024
103001502	505100	 	40749.17		8	2024
103001502	506100	 	8221.56		8	2024
103001502	509100	 	1100.39		8	2024
103001502	511100	 	33938.67		8	2024
103001502	514100	 	7966.56		8	2024
103001502	515100	 	6991.08		8	2024
103001502	521110	 	649.71		8	2024
103001502	521130	 	6000		8	2024
103001502	524190	 	1516		8	2024
103001502	529100	 	86289.98		8	2024
103001502	531700	 	495000		8	2024
103001502	531701	 	258081.28		8	2024
103001502	541130	 	1299.43		8	2024
103001502	542900	 	18949.99		8	2024
103001502	543110	 	54.14		8	2024
103001502	543120	 	195		8	2024
103001502	543130	 	1082.86		8	2024
103001502	543140	 	108.29		8	2024
103001502	543150	 	10178.85		8	2024
103001502	543151	 	1082.86		8	2024
103001502	543160	 	45933.14		8	2024
103001502	543170	 	1895		8	2024
103001502	543180	 	1678.43		8	2024
103001502	543190	 	1299.43		8	2024
103001502	544112	 	13070		8	2024
103001502	545200	 	1082.86		8	2024
103001502	571100	 	208		8	2024
103001502	571140	 	3065.17		8	2024
103001502	94000000	S	4753.92		8	2024
103001502	94000001	S	33220.56		8	2024
103001502	94000002	S	51931.32		8	2024
103001502	94000003	S	1531.92		8	2024
103001502	94000005	S	77876.4		8	2024
103001502	94000011	S	20149.8		8	2024
103001502	94000015	S	23520		8	2024
103001502	94000023	S	3183.36		8	2024
103001502	94000025	S	14781.96		8	2024
103001502	94000033	S	7823.16		8	2024
103001502	94000063	S	3106.56		8	2024
103001502	94000073	S	799.08		8	2024
103001502	94000083	S	11272.2		8	2024
103001502	94000103	S	12269.04		8	2024
103001502	94000133	S	45829.44		8	2024
103001502	94000173	S	44063.76		8	2024
104000105	448700	 		5.92	8	2024
104000105	501100	 	28012.89		8	2024
104000105	501200	 	187848.81		8	2024
104000105	501900	 	100		8	2024
104000105	502200	 	14545.42		8	2024
104000105	503200	 	33563.24		8	2024
104000105	504100	 	3764.12		8	2024
104000105	504110	 	109.04		8	2024
104000105	505100	 	9817.25		8	2024
104000105	506100	 	1981.14		8	2024
104000105	509100	 	699.01		8	2024
104000105	511100	 	8176.7		8	2024
104000105	514100	 	1919.04		8	2024
104000105	515100	 	1683.44		8	2024
104000105	529100	 	4262.69		8	2024
104000105	531800	 	21800		8	2024
104000105	541130	 	433.14		8	2024
104000105	543120	 	270.7		8	2024
104000105	543151	 	107.71		8	2024
104000105	543170	 	417.05		8	2024
104000105	543180	 	161.38		8	2024
104000105	543190	 	57.99		8	2024
104000105	94000000	S	159.96		8	2024
