Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
121201606,401100, ,,65861.45,8,2017
121201606,401200, ,,93194104.81,8,2017
121201606,401300, ,,229224000,8,2017
121201606,402100, ,,184867800,8,2017
121201606,402200, ,,33512745,8,2017
121201606,403100, ,,3998000,8,2017
121201606,403200, ,,1624000,8,2017
121201606,403400, ,,780000,8,2017
121201606,403500, ,,1120000,8,2017
121201606,403600, ,,250000,8,2017
121201606,405100, ,,18645223,8,2017
150000501,405200, ,,28833552,8,2017
150000510,405200, ,,4506432,8,2017
120001605,411100, ,,64839121,8,2017
141000401,412100, ,,50,8,2017
156001307,412100, ,,5200,8,2017
120001605,413200, ,,593656,8,2017
140000301,413201, ,,8161236,8,2017
101000102,414000, ,,100,8,2017
120001605,414000, ,,7633710,8,2017
141500408,414000, ,,20000,8,2017
141800404,414000, ,,50,8,2017
151000604,414000, ,,5000,8,2017
101000102,414100, ,,150,8,2017
120001605,414100, ,,12265216,8,2017
137000220,414100, ,,30000,8,2017
140000301,414100, ,,631348.68,8,2017
140000302,414100, ,,68079.12,8,2017
140000303,414100, ,,116451.24,8,2017
140000304,414100, ,,187738.88,8,2017
140000305,414100, ,,93140.88,8,2017
140000306,414100, ,,56580.2,8,2017
140000307,414100, ,,18000,8,2017
140000308,414100, ,,111000,8,2017
140000309,414100, ,,500000,8,2017
140000310,414100, ,,11750,8,2017
141000401,414100, ,,115000,8,2017
141200410,414100, ,,282000,8,2017
141300409,414100, ,,50,8,2017
141700405,414100, ,,50000,8,2017
141800404,414100, ,,602200,8,2017
150000504,414100, ,,49500,8,2017
150000506,414100, ,,322500,8,2017
151000601,414100, ,,820650,8,2017
151000602,414100, ,,58108697.11,8,2017
151000604,414100, ,,599796,8,2017
151000605,414100, ,,263524,8,2017
151000606,414100, ,,70000,8,2017
153000701,414100, ,,90700,8,2017
156001401,414100, ,,25900,8,2017
161000901,414100, ,,185000,8,2017
161000902,414100, ,,372610,8,2017
161001207,414100, ,,9437950,8,2017
103001501,414200, ,,7500,8,2017
150000511,414200, ,,1020000,8,2017
101000102,414400, ,,50,8,2017
103001501,414400, ,,5000,8,2017
133000203,414500, ,,1000,8,2017
156001401,414500, ,,57500,8,2017
101000102,414700, ,,100,8,2017
103001501,414700, ,,4000,8,2017
110770131,414700, ,,1300,8,2017
110880132,414700, ,,4000,8,2017
110990133,414700, ,,125,8,2017
133000201,414700, ,,40000,8,2017
133000203,414700, ,,9000,8,2017
137001720,414700, ,,100,8,2017
140000310,414700, ,,1000,8,2017
141000401,414700, ,,50,8,2017
141300409,414700, ,,50,8,2017
166000112,414700, ,,2000,8,2017
110990133,414800, ,,50,8,2017
141000402,414800, ,,50,8,2017
141300409,414800, ,,50,8,2017
141400407,414800, ,,4000,8,2017
141800404,414800, ,,50,8,2017
150000504,414800, ,,188000,8,2017
150000510,414800, ,,200,8,2017
152000803,414800, ,,10000,8,2017
166000112,414800, ,,2000,8,2017
103001502,416100, ,,4815.06,8,2017
123000128,416100, ,,210127.28,8,2017
137000219,416100, ,,102016.63,8,2017
137000220,416100, ,,11916,8,2017
140000301,416100, ,,6937.7,8,2017
140000302,416100, ,,1576.75,8,2017
140000303,416100, ,,2522.8,8,2017
140000304,416100, ,,3468.85,8,2017
140000305,416100, ,,946.05,8,2017
140000306,416100, ,,3153.5,8,2017
140000307,416100, ,,630.7,8,2017
150000510,416100, ,,100,8,2017
151000602,416100, ,,133.26,8,2017
152000801,416100, ,,118601.09,8,2017
152000803,416100, ,,251344.58,8,2017
166001103,416100, ,,114462.52,8,2017
166001201,416100, ,,661627.53,8,2017
166001202,416100, ,,2574.17,8,2017
166001203,416100, ,,126095.37,8,2017
166001204,416100, ,,3007056.75,8,2017
166001308,416100, ,,23934.02,8,2017
168001301,416100, ,,452577,8,2017
168001303,416100, ,,4761.1,8,2017
190001507,416100, ,,28665.64,8,2017
101000102,416110, ,,608.31,8,2017
102000103,416110, ,,2552.28,8,2017
103001501,416110, ,,1871.9,8,2017
103001502,416110, ,,856.44,8,2017
104000105,416110, ,,88.35,8,2017
110000109,416110, ,,23260.76,8,2017
110000123,416110, ,,77657.43,8,2017
110000124,416110, ,,66829.11,8,2017
110200126,416110, ,,203119.65,8,2017
110770131,416110, ,,4015.35,8,2017
110880132,416110, ,,2378.19,8,2017
110990133,416110, ,,2137.85,8,2017
113000114,416110, ,,15165.87,8,2017
114000107,416110, ,,500,8,2017
120000120,416110, ,,43932.76,8,2017
121000121,416110, ,,31173.24,8,2017
121000122,416110, ,,548.54,8,2017
123000128,416110, ,,86912.51,8,2017
125000108,416110, ,,394.52,8,2017
133000201,416110, ,,27402.81,8,2017
133000202,416110, ,,3.12,8,2017
133000203,416110, ,,0.48,8,2017
133000204,416110, ,,5109.82,8,2017
133000205,416110, ,,101.48,8,2017
133000206,416110, ,,15.45,8,2017
133000207,416110, ,,73.11,8,2017
137000219,416110, ,,217685.31,8,2017
137000220,416110, ,,49128.39,8,2017
137000221,416110, ,,7606.07,8,2017
140000301,416110, ,,59149.41,8,2017
140000302,416110, ,,8167.65,8,2017
140000303,416110, ,,30595.29,8,2017
140000304,416110, ,,88317.41,8,2017
140000305,416110, ,,37965.54,8,2017
140000306,416110, ,,17582.32,8,2017
140000307,416110, ,,147083.15,8,2017
140000308,416110, ,,503.28,8,2017
140000309,416110, ,,497.76,8,2017
140000310,416110, ,,8475.43,8,2017
141000401,416110, ,,4393.63,8,2017
141000402,416110, ,,723.48,8,2017
141000403,416110, ,,190.44,8,2017
141200410,416110, ,,11378.94,8,2017
141300409,416110, ,,9614.61,8,2017
141400407,416110, ,,3784.16,8,2017
141500408,416110, ,,1370.68,8,2017
141600406,416110, ,,6960.64,8,2017
141700405,416110, ,,2331.61,8,2017
141800404,416110, ,,4019.12,8,2017
150000501,416110, ,,28.08,8,2017
150000502,416110, ,,844.81,8,2017
150000503,416110, ,,69.96,8,2017
150000504,416110, ,,2976.46,8,2017
150000507,416110, ,,69.96,8,2017
150000508,416110, ,,69.96,8,2017
150000510,416110, ,,3908.02,8,2017
150000511,416110, ,,27.96,8,2017
150001005,416110, ,,140179.27,8,2017
151000601,416110, ,,221.52,8,2017
151000602,416110, ,,97666.68,8,2017
151000603,416110, ,,502.33,8,2017
151000604,416110, ,,17722.71,8,2017
151000605,416110, ,,1807.72,8,2017
151000606,416110, ,,1702.24,8,2017
151000608,416110, ,,15.6,8,2017
152000801,416110, ,,392010.38,8,2017
152000802,416110, ,,8469.84,8,2017
152000803,416110, ,,139975.34,8,2017
153000701,416110, ,,5650.71,8,2017
153000702,416110, ,,1199.09,8,2017
153000703,416110, ,,479.36,8,2017
153000704,416110, ,,2710.89,8,2017
156000208,416110, ,,6040.69,8,2017
156001307,416110, ,,1309.29,8,2017
156001401,416110, ,,23363.39,8,2017
156001402,416110, ,,2903.26,8,2017
161000901,416110, ,,624.72,8,2017
161000902,416110, ,,455.91,8,2017
162000906,416110, ,,432.68,8,2017
162000907,416110, ,,4745.53,8,2017
162000908,416110, ,,159.36,8,2017
162000909,416110, ,,250.48,8,2017
163001001,416110, ,,705.88,8,2017
166000112,416110, ,,985.27,8,2017
166001103,416110, ,,3349232.51,8,2017
166001201,416110, ,,2504158.78,8,2017
166001202,416110, ,,212086.7,8,2017
166001203,416110, ,,274776.49,8,2017
166001204,416110, ,,575486.79,8,2017
166001205,416110, ,,691.94,8,2017
166001206,416110, ,,780.68,8,2017
166001308,416110, ,,120917,8,2017
168001301,416110, ,,890713.45,8,2017
168001302,416110, ,,31629.55,8,2017
168001303,416110, ,,27296.52,8,2017
190000104,416110, ,,204.27,8,2017
190000113,416110, ,,269.54,8,2017
190400412,416110, ,,22.92,8,2017
190600903,416110, ,,50.79,8,2017
110000109,416120, ,,622.4,8,2017
110200126,416120, ,,679.63,8,2017
140000301,416120, ,,23.27,8,2017
141400407,416120, ,,95.79,8,2017
151000602,416120, ,,1698.62,8,2017
152000803,416120, ,,11407.34,8,2017
166001103,416120, ,,538114.7,8,2017
166001201,416120, ,,1011.63,8,2017
110000109,416130, ,,1533.53,8,2017
168001302,416140, ,,847.52,8,2017
137000219,416150, ,,22727.28,8,2017
140000301,416150, ,,313.52,8,2017
141200410,416150, ,,38.68,8,2017
141700405,416150, ,,80,8,2017
150000504,416150, ,,55,8,2017
166001204,416150, ,,499.5,8,2017
168001302,416150, ,,129.31,8,2017
152000803,416160, ,,118.23,8,2017
166001103,416160, ,,1888.37,8,2017
140000301,416170, ,,737.57,8,2017
140000302,416170, ,,130,8,2017
140000304,416170, ,,1840.52,8,2017
140000307,416170, ,,2273.19,8,2017
141600406,416170, ,,29.04,8,2017
141700405,416170, ,,774.39,8,2017
150001005,416170, ,,108.23,8,2017
151000604,416170, ,,662.5,8,2017
152000803,416170, ,,2662.64,8,2017
166001103,416170, ,,24997.72,8,2017
166001201,416170, ,,71311.81,8,2017
166001202,416170, ,,2336.91,8,2017
166001203,416170, ,,89.04,8,2017
166001204,416170, ,,88.92,8,2017
168001301,416170, ,,46138.04,8,2017
168001302,416170, ,,3156.94,8,2017
103001502,416180, ,,1915.25,8,2017
123000128,416180, ,,24584.55,8,2017
140000301,416180, ,,3314.27,8,2017
140000303,416180, ,,987.93,8,2017
140000304,416180, ,,11547.56,8,2017
140000305,416180, ,,2193.42,8,2017
140000306,416180, ,,563.25,8,2017
140000307,416180, ,,7189.85,8,2017
141300409,416180, ,,512.29,8,2017
141700405,416180, ,,2185.89,8,2017
150000504,416180, ,,155.11,8,2017
151000602,416180, ,,1425.9,8,2017
151000604,416180, ,,287.9,8,2017
152000801,416180, ,,2727.43,8,2017
152000803,416180, ,,3470.58,8,2017
166001103,416180, ,,2385.42,8,2017
166001201,416180, ,,2236805.36,8,2017
166001202,416180, ,,25811.13,8,2017
166001203,416180, ,,32763.26,8,2017
166001204,416180, ,,98965.31,8,2017
166001308,416180, ,,9553.36,8,2017
168001301,416180, ,,77076.21,8,2017
168001303,416180, ,,500.27,8,2017
150000510,418100, ,,500,8,2017
150000502,421100, ,,10000,8,2017
150000508,421100, ,,200,8,2017
151000605,421100, ,,60000,8,2017
150000502,421110, ,,295000,8,2017
150000507,421110, ,,740901,8,2017
150000501,421120, ,,250000,8,2017
150000502,421120, ,,440500,8,2017
150000503,421120, ,,17000,8,2017
151000605,421120, ,,110000,8,2017
150000501,421140, ,,10000,8,2017
150000502,421140, ,,500500,8,2017
150000503,421140, ,,85000,8,2017
150000506,421140, ,,10000,8,2017
150000507,421140, ,,40000,8,2017
150000511,421140, ,,10000,8,2017
150001005,421140, ,,50000,8,2017
151000605,421140, ,,16500,8,2017
150000502,421190, ,,11500,8,2017
151000605,421190, ,,10000,8,2017
151000605,422100, ,,900000,8,2017
150000502,422110, ,,800,8,2017
151000605,422110, ,,5000,8,2017
150000502,422120, ,,135000,8,2017
151000605,422120, ,,700000,8,2017
150000502,422140, ,,41000,8,2017
151000605,422140, ,,10000,8,2017
150000502,422190, ,,144500,8,2017
151000602,429100, ,,476100,8,2017
111000116,429199, ,,32000,8,2017
121000122,431100, ,,5000,8,2017
133000201,431100, ,,50500,8,2017
133000202,431100, ,,272500,8,2017
133000204,431100, ,,5465000,8,2017
133000205,431100, ,,3460000,8,2017
133000206,431100, ,,664200,8,2017
137000219,431100, ,,356500,8,2017
140000306,431100, ,,95000,8,2017
140000310,431100, ,,5000,8,2017
141300409,431100, ,,500,8,2017
141400407,431100, ,,5000,8,2017
141500408,431100, ,,900,8,2017
150000508,431100, ,,200,8,2017
150000510,431100, ,,15000,8,2017
150001005,431100, ,,92500,8,2017
151000605,431100, ,,3600,8,2017
153000702,431100, ,,227000,8,2017
153000704,431100, ,,198500,8,2017
156000208,431100, ,,38000,8,2017
156001307,431100, ,,49300,8,2017
156001401,431100, ,,34500,8,2017
156001402,431100, ,,50000,8,2017
161000215,431100, ,,1000,8,2017
161001003,431100, ,,131500,8,2017
162000906,431100, ,,55000,8,2017
162000907,431100, ,,280000,8,2017
162000908,431100, ,,800,8,2017
162000909,431100, ,,80000,8,2017
163000904,431100, ,,12500,8,2017
163001001,431100, ,,3125000,8,2017
166000112,431100, ,,5800.08,8,2017
166001103,431100, ,,500,8,2017
166001201,431100, ,,75350,8,2017
166001202,431100, ,,2899.92,8,2017
166001203,431100, ,,2899.92,8,2017
166001204,431100, ,,2899.92,8,2017
166001205,431100, ,,2900.04,8,2017
166001206,431100, ,,7250.12,8,2017
168001303,431100, ,,50000,8,2017
