Profitcenter	Sachkonto	S/H	costs	earning	Version	Planjahr
100000100	94000023	S	14930.28		8	2018
100000100	94000023	H		14930.28	8	2018
100000100	94000173	S	6292976.76		8	2018
100000100	94000173	H		6292976.76	8	2018
100000100	94000183	S	1413698.16		8	2018
100000100	94000183	H		1413698.16	8	2018
101000102	414000	 		100	8	2018
101000102	414100	 		150	8	2018
101000102	414400	 		50	8	2018
101000102	414700	 		100	8	2018
101000102	416110	 		720.83	8	2018
101000102	448700	 		60	8	2018
101000102	459100	 		50	8	2018
101000102	501100	 	149790.89		8	2018
101000102	501200	 	321222.82		8	2018
101000102	501900	 	3600		8	2018
101000102	502200	 	25145.39		8	2018
101000102	503200	 	59959.63		8	2018
101000102	503900	 	1900		8	2018
101000102	504100	 	13245.36		8	2018
101000102	504110	 	393.36		8	2018
101000102	505100	 	57517.95		8	2018
101000102	506100	 	11606.04		8	2018
101000102	509100	 	901.83		8	2018
101000102	511100	 	45021.31		8	2018
101000102	514100	 	9961.56		8	2018
101000102	515100	 	13824		8	2018
101000102	523400	 	102.01		8	2018
101000102	523500	 	2548.74		8	2018
101000102	523800	 	153.02		8	2018
101000102	528000	 	561.06		8	2018
101000102	529100	 	91998.72		8	2018
101000102	531800	 	25100		8	2018
101000102	541130	 	16222.61		8	2018
101000102	542100	 	204.02		8	2018
101000102	542900	 	204.02		8	2018
101000102	543110	 	51.01		8	2018
101000102	543140	 	102.01		8	2018
101000102	543160	 	612.06		8	2018
101000102	543170	 	56850.25		8	2018
101000102	543180	 	1734.17		8	2018
101000102	543190	 	79928.05		8	2018
101000102	544110	 	714.07		8	2018
101000102	544112	 	21422.1		8	2018
101000102	545100	 	1428.14		8	2018
101000102	571140	 	720.83		8	2018
101000102	94000000	S	1370.04		8	2018
101000102	94000001	S	24807.12		8	2018
101000102	94000002	S	18699.6		8	2018
101000102	94000003	S	2700		8	2018
101000102	94000005	S	177220.82		8	2018
101000102	94000011	S	9473.16		8	2018
101000102	94000015	S	32760		8	2018
101000102	94000023	S	5232.72		8	2018
101000102	94000025	S	3699.96		8	2018
101000102	94000033	S	1948.08		8	2018
101000102	94000063	S	3430.68		8	2018
101000102	94000065	S	696		8	2018
101000102	94000073	S	259.2		8	2018
101000102	94000083	S	15399.36		8	2018
101000102	94000103	S	4336.32		8	2018
101000102	94000133	S	15278.76		8	2018
101000102	94000173	S	49902.84		8	2018
102000103	416110	 		2515.45	8	2018
102000103	448700	 		554.4	8	2018
102000103	501100	 	2272359.94		8	2018
102000103	501200	 	815165.39		8	2018
102000103	501900	 	4080.4		8	2018
102000103	502200	 	63071.12		8	2018
102000103	503200	 	160051.28		8	2018
102000103	503900	 	918.09		8	2018
102000103	504100	 	122057.04		8	2018
102000103	504110	 	3230.4		8	2018
102000103	505100	 	872559.89		8	2018
102000103	506100	 	176065.89		8	2018
102000103	509100	 	1715.31		8	2018
102000103	511100	 	682983.19		8	2018
102000103	514100	 	151118.71		8	2018
102000103	515100	 	209715.41		8	2018
102000103	529100	 	193001.44		8	2018
102000103	541130	 	18106.78		8	2018
102000103	541160	 	112.21		8	2018
102000103	542100	 	5406.53		8	2018
102000103	543110	 	204.02		8	2018
102000103	543120	 	253.41		8	2018
102000103	543160	 	6375.63		8	2018
102000103	543170	 	27691.77		8	2018
102000103	543180	 	4825.07		8	2018
102000103	543190	 	14026.38		8	2018
102000103	545100	 	2550.25		8	2018
102000103	549110	 	500		8	2018
102000103	571140	 	2515.46		8	2018
102000103	94000000	H		97.68	8	2018
102000103	94000000	S	7284.96		8	2018
102000103	94000001	S	50252.64		8	2018
102000103	94000002	H		38.28	8	2018
102000103	94000002	S	100984.56		8	2018
102000103	94000003	S	63630.36		8	2018
102000103	94000005	H		1427980.8	8	2018
102000103	94000005	S	39.96		8	2018
102000103	94000011	H		111.12	8	2018
102000103	94000011	S	36854.16		8	2018
102000103	94000013	S	620.04		8	2018
102000103	94000015	H		38698.2	8	2018
102000103	94000015	S	286440		8	2018
102000103	94000023	H		484.08	8	2018
102000103	94000023	S	53530.08		8	2018
102000103	94000025	H		24.48	8	2018
102000103	94000025	S	55105.08		8	2018
102000103	94000033	H		378.48	8	2018
102000103	94000033	S	8135.04		8	2018
102000103	94000063	H		571.68	8	2018
102000103	94000063	S	21061.44		8	2018
102000103	94000065	S	2595		8	2018
102000103	94000073	H		37.56	8	2018
102000103	94000073	S	1400.76		8	2018
102000103	94000083	H		51	8	2018
102000103	94000083	S	10661.04		8	2018
102000103	94000103	H		1077.72	8	2018
102000103	94000103	S	25455.24		8	2018
102000103	94000133	S	74356.44		8	2018
102000103	94000143	S	1190.04		8	2018
102000103	94000163	S	9107.04		8	2018
102000103	94000173	H		10631.4	8	2018
102000103	94000173	S	562113		8	2018
102000118	448700	 		45	8	2018
102000118	501100	 	162958.17		8	2018
102000118	501200	 	498786.49		8	2018
102000118	502200	 	37645.95		8	2018
102000118	503200	 	95319.78		8	2018
102000118	504100	 	9999.6		8	2018
102000118	504110	 	352.08		8	2018
102000118	505100	 	62574.14		8	2018
102000118	506100	 	12626.16		8	2018
102000118	509100	 	1395.54		8	2018
102000118	511100	 	48978.89		8	2018
102000118	514100	 	10837.32		8	2018
102000118	515100	 	15039.48		8	2018
102000118	542100	 	1318500		8	2018
102000118	543170	 	12178.29		8	2018
102000118	549120	 	1120000		8	2018
102000118	94000000	S	2409.6		8	2018
102000118	94000001	S	44851.96		8	2018
102000118	94000002	S	24310.92		8	2018
102000118	94000003	S	320.04		8	2018
102000118	94000005	S	4645647.44		8	2018
102000118	94000011	S	13387.44		8	2018
102000118	94000015	S	190920		8	2018
102000118	94000023	S	317.88		8	2018
102000118	94000033	S	6082.32		8	2018
102000118	94000063	S	9267.6		8	2018
102000118	94000073	S	337.2		8	2018
102000118	94000083	S	19258.56		8	2018
102000118	94000133	S	52966.2		8	2018
102000118	94000173	S	260468.28		8	2018
103001500	94000000	H		10099.92	8	2018
103001500	94000000	S	10099.92		8	2018
103001500	94000001	S	7416.12		8	2018
103001500	94000001	H		7416.12	8	2018
103001500	94000002	H		7480.32	8	2018
103001500	94000002	S	7480.32		8	2018
103001500	94000003	H		3680.04	8	2018
103001500	94000003	S	3680.04		8	2018
103001500	94000005	S	177220.82		8	2018
103001500	94000005	H		177220.82	8	2018
103001500	94000011	S	3369.6		8	2018
103001500	94000011	H		3369.6	8	2018
103001500	94000023	H		6947.4	8	2018
103001500	94000023	S	6947.4		8	2018
103001500	94000025	H		3600	8	2018
103001500	94000025	S	3600		8	2018
103001500	94000033	H		878.52	8	2018
103001500	94000033	S	878.52		8	2018
103001500	94000063	H		2519.64	8	2018
103001500	94000063	S	2519.64		8	2018
103001500	94000073	H		103.8	8	2018
103001500	94000073	S	103.8		8	2018
103001500	94000083	S	2559.84		8	2018
103001500	94000083	H		2559.84	8	2018
103001500	94000103	H		1894.32	8	2018
103001500	94000103	S	1894.32		8	2018
103001500	94000173	H		4015.44	8	2018
103001500	94000173	S	4015.44		8	2018
103001501	414200	 		7500	8	2018
103001501	414400	 		5000	8	2018
103001501	414700	 		4000	8	2018
103001501	416110	 		2023.82	8	2018
103001501	446100	 		43068	8	2018
103001501	448200	 		131008	8	2018
103001501	448700	 		72792.92	8	2018
103001501	458900	 		151230.94	8	2018
103001501	458910	 		62300	8	2018
103001501	501100	 	326777.3		8	2018
103001501	501200	 	573842		8	2018
103001501	502200	 	55196.02		8	2018
103001501	503200	 	129984.6		8	2018
103001501	504100	 	22991.28		8	2018
