Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
102000103,501100, ,2342719,,8,2021
166001308,501100, ,10309.27,,8,2021
120000120,501100, ,1034132.04,,8,2021
140000303,501100, ,107026.8,,8,2021
133000203,501100, ,108384.19,,8,2021
170001208,501100, ,10932.1,,8,2021
137000219,501100, ,10963671.88,,8,2021
103001502,501100, ,112859.3,,8,2021
150000510,501100, ,1140633.12,,8,2021
110000119,501100, ,117585.12,,8,2021
141000403,501100, ,11878.56,,8,2021
141700405,501100, ,119983.81,,8,2021
166001202,501100, ,12215.04,,8,2021
166001203,501100, ,12215.04,,8,2021
166001204,501100, ,12215.04,,8,2021
190600903,501100, ,122636.89,,8,2021
140000305,501100, ,124336.49,,8,2021
111000116,501100, ,12580106.95,,8,2021
133000207,501100, ,125935.96,,8,2021
161001003,501100, ,133673.54,,8,2021
153000703,501100, ,134090.58,,8,2021
150000508,501100, ,139508.79,,8,2021
140000308,501100, ,139607.12,,8,2021
137000220,501100, ,1430066.26,,8,2021
166001206,501100, ,14691.36,,8,2021
121000122,501100, ,1471978.48,,8,2021
141600406,501100, ,147539.9,,8,2021
141000401,501100, ,150462.2,,8,2021
152000802,501100, ,150943.06,,8,2021
101000102,501100, ,154329.71,,8,2021
162000908,501100, ,157274.61,,8,2021
133000201,501100, ,1628272.47,,8,2021
113000114,501100, ,164542.26,,8,2021
151000602,501100, ,1655440.97,,8,2021
150001005,501100, ,1673878.36,,8,2021
102000118,501100, ,167895.97,,8,2021
110990133,501100, ,168434.75,,8,2021
150000504,501100, ,171569.12,,8,2021
110660130,501100, ,172063.3,,8,2021
156001307,501100, ,176702.3,,8,2021
150000501,501100, ,1787675.85,,8,2021
141200410,501100, ,181211.46,,8,2021
121000121,501100, ,1836021.04,,8,2021
190000104,501100, ,185355.76,,8,2021
140000304,501100, ,189485.36,,8,2021
111000115,501100, ,198707.95,,8,2021
151000604,501100, ,202255.03,,8,2021
140000307,501100, ,206885.28,,8,2021
110880132,501100, ,208506.01,,8,2021
