Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
153000704,94000000,H,,13500,8,2022
150000000,94000000,H,,43920,8,2022
133000200,94000000,H,,78270,8,2022
166000000,94000000,H,,113040,8,2022
168001300,94000000,H,,171000,8,2022
152000803,94000000,H,,274200,8,2022
103001500,94000000,H,,10099.92,8,2022
137000200,94000000,H,,113769.96,8,2022
161000000,94000000,H,,12750.12,8,2022
166001103,94000000,H,,1528999.92,8,2022
156000000,94000000,H,,17149.92,8,2022
163000000,94000000,H,,18425.04,8,2022
140000300,94000000,H,,21019.92,8,2022
153000700,94000000,H,,2109.96,8,2022
152000801,94000000,H,,22099.92,8,2022
121000100,94000000,H,,30204.96,8,2022
152000800,94000000,H,,30980.04,8,2022
110000123,94000000,H,,356129.64,8,2022
162000900,94000000,H,,3819.96,8,2022
141000400,94000000,H,,389.88,8,2022
141400407,94000000,H,,3971.4,8,2022
141200410,94000000,H,,400.08,8,2022
162000907,94000000,H,,482619.96,8,2022
137000219,94000000,H,,494400.12,8,2022
166000112,94000000,H,,59300.04,8,2022
151000600,94000000,H,,86160.12,8,2022
130000000,94000000,H,,9.96,8,2022
153000702,94000000,H,,90500.04,8,2022
102000103,94000000,H,,97.68,8,2022
110000100,94000000,H,,9999.96,8,2022
121000122,94000001,H,,1289720,8,2022
130000127,94000001,H,,1077309.23,8,2022
153000700,94000001,H,,12349.2,8,2022
166000000,94000001,H,,125129.64,8,2022
120000120,94000001,H,,1672407.55,8,2022
133000200,94000001,H,,17854.08,8,2022
152000800,94000001,H,,18581.64,8,2022
151000600,94000001,H,,29139.72,8,2022
137000200,94000001,H,,32616.24,8,2022
121000121,94000001,H,,3569702.24,8,2022
161000000,94000001,H,,3708.36,8,2022
140000300,94000001,H,,49740.6,8,2022
168001300,94000001,H,,50456.16,8,2022
163000000,94000001,H,,5974.44,8,2022
162000900,94000001,H,,6266.76,8,2022
121000100,94000001,H,,7039.32,8,2022
150000000,94000001,H,,72816.92,8,2022
114000107,94000001,H,,74876.88,8,2022
103001500,94000001,H,,7620.6,8,2022
130000000,94000001,H,,8024.04,8,2022
156000000,94000001,H,,8856.84,8,2022
141000400,94000001,H,,9492.24,8,2022
141000400,94000002,H,,17076,8,2022
163000000,94000002,H,,11383.92,8,2022
130000000,94000002,H,,12435.6,8,2022
150000510,94000002,H,,140940.62,8,2022
130000127,94000002,H,,149583.36,8,2022
151000600,94000002,H,,151786.17,8,2022
162000900,94000002,H,,17075.88,8,2022
153000700,94000002,H,,194491.78,8,2022
140000300,94000002,H,,221986.56,8,2022
166000000,94000002,H,,223883.81,8,2022
150000000,94000002,H,,223884.12,8,2022
110000100,94000002,H,,248.4,8,2022
104000105,94000002,H,,260182.53,8,2022
102000103,94000002,H,,40.08,8,2022
190000113,94000002,H,,400491.32,8,2022
161000000,94000002,H,,51227.76,8,2022
168001300,94000002,H,,512276.57,8,2022
133000200,94000002,H,,56919.96,8,2022
137000200,94000002,H,,632633.76,8,2022
111000116,94000002,H,,6942190.41,8,2022
121000100,94000002,H,,7105.8,8,2022
103001500,94000002,H,,7589.16,8,2022
152000800,94000002,H,,79687.43,8,2022
156000000,94000002,H,,9486.48,8,2022
111000115,94000002,H,,979193.78,8,2022
153000700,94000003,H,,3510,8,2022
110000100,94000003,H,,6000,8,2022
140000300,94000003,H,,6270,8,2022
121000100,94000003,H,,8430,8,2022
150000000,94000003,H,,8790,8,2022
166000112,94000003,H,,13500,8,2022
163000000,94000003,H,,14070,8,2022
133000200,94000003,H,,16350,8,2022
166000000,94000003,H,,19920,8,2022
141300409,94000003,H,,30000,8,2022
130000000,94000003,H,,1299.96,8,2022
156000000,94000003,H,,1299.96,8,2022
130000127,94000003,H,,171099.12,8,2022
137000200,94000003,H,,2799.96,8,2022
170001102,94000003,H,,284222.04,8,2022
162000900,94000003,H,,2879.88,8,2022
151000600,94000003,H,,29929.92,8,2022
110000123,94000003,H,,343349.76,8,2022
103001500,94000003,H,,3680.04,8,2022
152000801,94000003,H,,399.96,8,2022
168001300,94000003,H,,42500.04,8,2022
168001302,94000003,H,,500.04,8,2022
161000000,94000003,H,,5229.96,8,2022
141000400,94000003,H,,5300.04,8,2022
152000800,94000003,H,,680.04,8,2022
137000219,94000003,H,,7899.96,8,2022
110000109,94000003,H,,91749.96,8,2022
140000310,94000004,H,,60000,8,2022
151000608,94000004,H,,116000,8,2022
190000104,94000004,H,,167000,8,2022
156001402,94000004,H,,236000,8,2022
150000511,94000004,H,,396000,8,2022
152000801,94000004,H,,863517,8,2022
150000501,94000004,H,,5555000,8,2022
137000220,94000005,S,,4188,8,2022
168001300,94000005,H,,129.96,8,2022
102000103,94000005,H,,1463874.24,8,2022
111000116,94000005,H,,167313.09,8,2022
137000221,94000005,S,,16963.92,8,2022
103001500,94000005,H,,182056.22,8,2022
151000600,94000005,H,,20.04,8,2022
141000401,94000005,H,,21891.62,8,2022
110770131,94000005,H,,234878.14,8,2022
110990133,94000005,H,,239700.84,8,2022
141800404,94000005,H,,2492.28,8,2022
110880132,94000005,H,,258923.35,8,2022
190600903,94000005,H,,259566.94,8,2022
114000107,94000005,H,,2625900.98,8,2022
110000123,94000005,H,,2780.04,8,2022
110660130,94000005,H,,343171.57,8,2022
133000200,94000005,H,,530.04,8,2022
120000120,94000005,H,,624687.2,8,2022
161000000,94000005,H,,65061.79,8,2022
110000109,94000005,H,,65089.2,8,2022
163000000,94000005,H,,65101.75,8,2022
162000900,94000005,H,,65221.75,8,2022
