Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
100000100,94000023,H,,14930.28,8,2022
100000100,94000023,S,14930.28,,8,2022
100000100,94000173,S,6767720.64,,8,2022
100000100,94000173,H,,6767720.64,8,2022
100000100,94000183,S,1413698.16,,8,2022
100000100,94000183,H,,1413698.16,8,2022
101000102,414000, ,,100,8,2022
101000102,414100, ,,150,8,2022
101000102,414400, ,,50,8,2022
101000102,414700, ,,100,8,2022
101000102,416110, ,,1355.21,8,2022
101000102,448700, ,,60,8,2022
101000102,459100, ,,50,8,2022
101000102,501100, ,155873.01,,8,2022
101000102,501200, ,334265.73,,8,2022
101000102,501900, ,3600,,8,2022
101000102,502200, ,26166.4,,8,2022
101000102,503200, ,62394.24,,8,2022
101000102,503900, ,1900,,8,2022
101000102,504100, ,14359.92,,8,2022
101000102,504110, ,377.28,,8,2022
101000102,505100, ,54205.83,,8,2022
101000102,506100, ,10936.32,,8,2022
101000102,509100, ,938.43,,8,2022
101000102,511100, ,45928.93,,8,2022
101000102,514100, ,10570.92,,8,2022
101000102,515100, ,9240.32,,8,2022
101000102,523400, ,106.15,,8,2022
101000102,523500, ,2855.25,,8,2022
101000102,523800, ,159.23,,8,2022
101000102,528000, ,583.84,,8,2022
101000102,529100, ,86611.89,,8,2022
101000102,531800, ,25100,,8,2022
101000102,541130, ,16475.27,,8,2022
101000102,542100, ,212.3,,8,2022
101000102,542900, ,212.3,,8,2022
101000102,543110, ,53.08,,8,2022
101000102,543140, ,106.15,,8,2022
101000102,543160, ,636.91,,8,2022
101000102,543170, ,56953.8,,8,2022
101000102,543180, ,1804.58,,8,2022
101000102,543190, ,48697.05,,8,2022
101000102,544110, ,743.06,,8,2022
101000102,544112, ,22291.92,,8,2022
101000102,545100, ,1486.13,,8,2022
101000102,571140, ,1355.21,,8,2022
101000102,94000000,S,1370.04,,8,2022
101000102,94000001,S,25305.6,,8,2022
101000102,94000002,S,18973.2,,8,2022
101000102,94000003,S,2700,,8,2022
101000102,94000005,S,182056.22,,8,2022
101000102,94000011,S,9392.04,,8,2022
101000102,94000015,S,32760,,8,2022
101000102,94000023,S,5232.72,,8,2022
101000102,94000025,S,3699.96,,8,2022
101000102,94000033,S,1967.76,,8,2022
101000102,94000063,S,3430.68,,8,2022
101000102,94000065,S,696,,8,2022
101000102,94000073,S,259.2,,8,2022
101000102,94000083,S,15399.36,,8,2022
101000102,94000103,S,4498.92,,8,2022
101000102,94000133,S,20757.12,,8,2022
101000102,94000173,S,53651.28,,8,2022
102000103,416110, ,,2342.08,8,2022
102000103,448700, ,,554.4,8,2022
102000103,501100, ,2366145.49,,8,2022
102000103,501200, ,848264.49,,8,2022
102000103,501900, ,4246.08,,8,2022
102000103,502200, ,65632,,8,2022
102000103,503200, ,166550.05,,8,2022
102000103,503900, ,955.37,,8,2022
102000103,504100, ,132367.92,,8,2022
102000103,504110, ,3123.48,,8,2022
102000103,505100, ,822841.3,,8,2022
102000103,506100, ,166012.67,,8,2022
102000103,509100, ,1784.99,,8,2022
102000103,511100, ,697198.68,,8,2022
102000103,514100, ,160465.08,,8,2022
102000103,515100, ,140268.48,,8,2022
102000103,529100, ,49413.4,,8,2022
102000103,541130, ,18841.99,,8,2022
102000103,541160, ,116.77,,8,2022
102000103,542100, ,5626.06,,8,2022
102000103,543110, ,212.3,,8,2022
102000103,543120, ,322.31,,8,2022
102000103,543160, ,6634.5,,8,2022
102000103,543170, ,22794.1,,8,2022
102000103,543180, ,5020.99,,8,2022
102000103,543190, ,11116.73,,8,2022
102000103,545100, ,2653.8,,8,2022
102000103,549110, ,500,,8,2022
102000103,571140, ,2342.08,,8,2022
102000103,94000000,H,,97.68,8,2022
102000103,94000000,S,7284.96,,8,2022
102000103,94000001,S,51218.04,,8,2022
102000103,94000002,H,,40.08,8,2022
102000103,94000002,S,102455.28,,8,2022
102000103,94000003,S,63630.36,,8,2022
102000103,94000005,H,,1463874.24,8,2022
102000103,94000005,S,39.96,,8,2022
102000103,94000011,H,,114.6,8,2022
102000103,94000011,S,36982.92,,8,2022
102000103,94000013,S,620.04,,8,2022
102000103,94000015,H,,38698.2,8,2022
102000103,94000015,S,286440,,8,2022
102000103,94000023,H,,484.08,8,2022
102000103,94000023,S,53530.08,,8,2022
102000103,94000025,S,55105.08,,8,2022
102000103,94000025,H,,24.48,8,2022
102000103,94000033,H,,382.56,8,2022
102000103,94000033,S,8208.48,,8,2022
102000103,94000063,H,,571.68,8,2022
102000103,94000063,S,21061.44,,8,2022
102000103,94000065,S,2595,,8,2022
102000103,94000073,H,,37.56,8,2022
102000103,94000073,S,1400.76,,8,2022
102000103,94000083,H,,51,8,2022
102000103,94000083,S,10661.04,,8,2022
102000103,94000103,S,26437.56,,8,2022
102000103,94000103,H,,1119.96,8,2022
102000103,94000133,S,101017.8,,8,2022
102000103,94000143,S,1190.04,,8,2022
102000103,94000163,S,9107.04,,8,2022
102000103,94000173,H,,11430,8,2022
102000103,94000173,S,604336.44,,8,2022
102000118,448700, ,,45,8,2022
102000118,501100, ,169574.92,,8,2022
102000118,501200, ,519039.22,,8,2022
102000118,502200, ,39174.52,,8,2022
102000118,503200, ,99190.15,,8,2022
102000118,504100, ,10835.64,,8,2022
102000118,504110, ,333.96,,8,2022
102000118,505100, ,58970.76,,8,2022
102000118,506100, ,11897.7,,8,2022
102000118,509100, ,1452.21,,8,2022
102000118,511100, ,49966.29,,8,2022
102000118,514100, ,11500.02,,8,2022
102000118,515100, ,10052.76,,8,2022
102000118,542100, ,1358500,,8,2022
102000118,543170, ,8846.59,,8,2022
102000118,549120, ,1160000,,8,2022
102000118,94000000,S,2409.6,,8,2022
102000118,94000001,S,46032,,8,2022
102000118,94000002,S,24665.28,,8,2022
102000118,94000003,S,320.04,,8,2022
102000118,94000005,S,4725039.56,,8,2022
102000118,94000011,S,13298.04,,8,2022
102000118,94000015,S,190920,,8,2022
102000118,94000023,S,317.88,,8,2022
102000118,94000033,S,6653.04,,8,2022
102000118,94000063,S,9267.6,,8,2022
102000118,94000073,S,337.2,,8,2022
102000118,94000083,S,19258.56,,8,2022
102000118,94000133,S,71957.88,,8,2022
102000118,94000173,S,280033.2,,8,2022
103001500,94000000,H,,10099.92,8,2022
103001500,94000000,S,10099.92,,8,2022
103001500,94000001,H,,7620.6,8,2022
103001500,94000001,S,7620.6,,8,2022
103001500,94000002,H,,7589.16,8,2022
103001500,94000002,S,7589.16,,8,2022
103001500,94000003,H,,3680.04,8,2022
103001500,94000003,S,3680.04,,8,2022
103001500,94000005,S,182056.22,,8,2022
103001500,94000005,H,,182056.22,8,2022
103001500,94000011,H,,3345.72,8,2022
103001500,94000011,S,3345.72,,8,2022
103001500,94000023,H,,6947.4,8,2022
103001500,94000023,S,6947.4,,8,2022
103001500,94000025,H,,3600,8,2022
103001500,94000025,S,3600,,8,2022
103001500,94000033,H,,887.76,8,2022
103001500,94000033,S,887.76,,8,2022
103001500,94000063,S,2519.64,,8,2022
103001500,94000063,H,,2519.64,8,2022
103001500,94000073,H,,103.8,8,2022
103001500,94000073,S,103.8,,8,2022
103001500,94000083,S,2559.84,,8,2022
103001500,94000083,H,,2559.84,8,2022
103001500,94000103,H,,1942.56,8,2022
103001500,94000103,S,1942.56,,8,2022
103001500,94000173,H,,4317,8,2022
103001500,94000173,S,4317,,8,2022
103001501,414200, ,,7500,8,2022
103001501,414400, ,,5000,8,2022
103001501,414700, ,,4000,8,2022
103001501,416110, ,,3833.21,8,2022
103001501,446100, ,,43068,8,2022
103001501,448200, ,,131008,8,2022
103001501,448700, ,,72792.92,8,2022
103001501,458910, ,,62300,8,2022
103001501,501100, ,340045.77,,8,2022
103001501,501200, ,597142.25,,8,2022
103001501,502200, ,57437.18,,8,2022
103001501,503200, ,135262.47,,8,2022
103001501,504100, ,24923.28,,8,2022
103001501,504110, ,679.08,,8,2022
103001501,505100, ,118252.99,,8,2022
103001501,506100, ,23858.16,,8,2022
103001501,509100, ,2274.09,,8,2022
103001501,511100, ,100196.52,,8,2022
103001501,514100, ,23060.95,,8,2022
103001501,515100, ,20158.32,,8,2022
103001501,529100, ,324219.82,,8,2022
103001501,531800, ,161500,,8,2022
103001501,541130, ,22258.47,,8,2022
103001501,542900, ,424.61,,8,2022
103001501,543120, ,1316,,8,2022
103001501,543150, ,8955.6,,8,2022
103001501,543151, ,5530.76,,8,2022
103001501,543160, ,8088.78,,8,2022
103001501,543170, ,25228.86,,8,2022
103001501,543180, ,3396.86,,8,2022
103001501,543190, ,33324.56,,8,2022
103001501,544112, ,101798,,8,2022
103001501,545100, ,127875.65,,8,2022
103001501,549162, ,9553.68,,8,2022
103001501,549163, ,62300,,8,2022
103001501,571140, ,3901,,8,2022
103001501,94000000,S,2877.6,,8,2022
103001501,94000001,S,49297.56,,8,2022
103001501,94000002,S,34910.64,,8,2022
103001501,94000003,S,903,,8,2022
103001501,94000005,S,44733.96,,8,2022
103001501,94000011,S,19367.04,,8,2022
103001501,94000015,S,60960,,8,2022
103001501,94000023,S,1898.04,,8,2022
103001501,94000025,S,3927.96,,8,2022
103001501,94000033,S,3747.96,,8,2022
103001501,94000055,S,30,,8,2022
103001501,94000063,S,5469.48,,8,2022
103001501,94000073,S,477.24,,8,2022
103001501,94000083,S,3566.52,,8,2022
103001501,94000103,S,18193.32,,8,2022
103001501,94000133,S,48448.56,,8,2022
103001501,94000163,S,500.04,,8,2022
103001501,94000173,S,44952,,8,2022
103001501,94000183,S,295305.12,,8,2022
103001502,416100, ,,4815.07,8,2022
103001502,416110, ,,2627.72,8,2022
103001502,416180, ,,1915.25,8,2022
103001502,446100, ,,192597.15,8,2022
103001502,448700, ,,38.04,8,2022
103001502,458900, ,,143040.67,8,2022
103001502,501100, ,113987.92,,8,2022
103001502,501200, ,552324.69,,8,2022
103001502,501900, ,35000,,8,2022
103001502,502200, ,42749.84,,8,2022
103001502,502900, ,2500,,8,2022
103001502,503200, ,106834.84,,8,2022
103001502,503900, ,9000,,8,2022
103001502,504100, ,9405.6,,8,2022
103001502,504110, ,482.16,,8,2022
103001502,505100, ,39640.06,,8,2022
103001502,506100, ,7997.52,,8,2022
103001502,509100, ,1078.7,,8,2022
103001502,511100, ,33587.16,,8,2022
103001502,514100, ,7730.4,,8,2022
103001502,515100, ,6757.44,,8,2022
103001502,521110, ,636.91,,8,2022
103001502,521130, ,6000,,8,2022
103001502,524190, ,1486.13,,8,2022
103001502,529100, ,87420.46,,8,2022
103001502,531700, ,495000,,8,2022
103001502,531701, ,258081.35,,8,2022
103001502,541130, ,1273.82,,8,2022
103001502,542900, ,18576.6,,8,2022
103001502,543110, ,53.08,,8,2022
103001502,543120, ,183,,8,2022
103001502,543130, ,1061.52,,8,2022
103001502,543140, ,106.15,,8,2022
103001502,543150, ,9978.29,,8,2022
103001502,543151, ,1061.52,,8,2022
103001502,543160, ,45924.61,,8,2022
103001502,543170, ,1857.66,,8,2022
103001502,543180, ,1645.36,,8,2022
103001502,543190, ,1273.82,,8,2022
103001502,544112, ,13070,,8,2022
103001502,545200, ,1061.52,,8,2022
103001502,571100, ,208,,8,2022
103001502,571140, ,11070.27,,8,2022
103001502,94000000,S,4698,,8,2022
103001502,94000001,S,34562.28,,8,2022
103001502,94000002,S,50205.36,,8,2022
103001502,94000003,S,1511.16,,8,2022
103001502,94000005,S,74764.82,,8,2022
103001502,94000011,S,19470.96,,8,2022
103001502,94000015,S,23520,,8,2022
103001502,94000023,S,3144.84,,8,2022
103001502,94000025,S,14767.68,,8,2022
103001502,94000033,S,7758.12,,8,2022
103001502,94000063,S,3104.16,,8,2022
103001502,94000073,S,798.96,,8,2022
103001502,94000083,S,11272.2,,8,2022
103001502,94000103,S,12265.32,,8,2022
103001502,94000133,S,40371.84,,8,2022
103001502,94000173,S,42461.4,,8,2022
104000105,448700, ,,5.92,8,2022
104000105,501100, ,27460.83,,8,2022
104000105,501200, ,184147.39,,8,2022
104000105,501900, ,100,,8,2022
104000105,502200, ,14258.88,,8,2022
104000105,503200, ,32901.8,,8,2022
104000105,504100, ,3620.48,,8,2022
104000105,504110, ,92.76,,8,2022
104000105,505100, ,9549.43,,8,2022
104000105,506100, ,1926.61,,8,2022
104000105,509100, ,685.05,,8,2022
104000105,511100, ,8091.86,,8,2022
104000105,514100, ,1862.26,,8,2022
104000105,515100, ,1626.99,,8,2022
104000105,529100, ,4293.32,,8,2022
104000105,531800, ,21800,,8,2022
104000105,541130, ,424.6,,8,2022
104000105,543120, ,265.37,,8,2022
104000105,543151, ,79.97,,8,2022
104000105,543170, ,430.75,,8,2022
104000105,543180, ,158.2,,8,2022
104000105,543190, ,702.96,,8,2022
104000105,94000000,S,159.96,,8,2022
104000105,94000002,H,,260182.53,8,2022
104000105,94000002,S,103.34,,8,2022
104000105,94000003,S,60,,8,2022
104000105,94000005,S,12389.4,,8,2022
104000105,94000011,H,,14673.38,8,2022
104000105,94000011,S,319.55,,8,2022
104000105,94000015,S,5160,,8,2022
104000105,94000023,S,4758.6,,8,2022
104000105,94000025,S,1500,,8,2022
104000105,94000033,S,892.2,,8,2022
104000105,94000063,S,586.44,,8,2022
104000105,94000065,S,519,,8,2022
104000105,94000073,S,110.12,,8,2022
104000105,94000083,S,135,,8,2022
104000105,94000103,S,1968.12,,8,2022
104000105,94000133,S,6919.08,,8,2022
104000105,94000173,S,6453.6,,8,2022
104000105,94000183,S,16816.68,,8,2022
110000100,94000000,H,,9999.96,8,2022
110000100,94000000,S,9999.96,,8,2022
110000100,94000002,H,,248.4,8,2022
110000100,94000002,S,248.4,,8,2022
110000100,94000003,H,,6000,8,2022
110000100,94000003,S,6000,,8,2022
110000100,94000011,S,710.88,,8,2022
110000100,94000011,H,,710.88,8,2022
110000100,94000015,H,,37200,8,2022
110000100,94000015,S,37200,,8,2022
110000100,94000023,H,,8374.32,8,2022
110000100,94000023,S,8374.32,,8,2022
110000100,94000025,H,,15999.96,8,2022
110000100,94000025,S,15999.96,,8,2022
110000100,94000033,S,1535.76,,8,2022
110000100,94000033,H,,1535.76,8,2022
110000100,94000063,H,,24219,8,2022
110000100,94000063,S,24219,,8,2022
110000100,94000073,H,,233.52,8,2022
110000100,94000073,S,233.52,,8,2022
110000100,94000083,H,,266.76,8,2022
110000100,94000083,S,266.76,,8,2022
110000100,94000103,H,,10890.6,8,2022
110000100,94000103,S,10890.6,,8,2022
110000100,94000173,H,,10499.4,8,2022
110000100,94000173,S,10499.4,,8,2022
110000109,416110, ,,37125.93,8,2022
110000109,416120, ,,622.4,8,2022
110000109,416130, ,,1533.58,8,2022
110000109,432100, ,,2500,8,2022
110000109,441100, ,,316500,8,2022
110000109,442100, ,,100,8,2022
110000109,446100, ,,8000,8,2022
110000109,448400, ,,9500,8,2022
110000109,448500, ,,108000,8,2022
110000109,448700, ,,126.12,8,2022
110000109,448800, ,,18970,8,2022
110000109,459100, ,,100,8,2022
110000109,501100, ,306260.91,,8,2022
110000109,501200, ,858605.47,,8,2022
110000109,502200, ,68564.64,,8,2022
110000109,503200, ,173670.34,,8,2022
110000109,504100, ,30330,,8,2022
110000109,504110, ,895.2,,8,2022
110000109,505100, ,106504,,8,2022
110000109,506100, ,21487.68,,8,2022
110000109,509100, ,714.64,,8,2022
110000109,511100, ,90241.77,,8,2022
110000109,514100, ,20769.77,,8,2022
110000109,515100, ,18155.88,,8,2022
110000109,521110, ,440,,8,2022
110000109,523500, ,79000,,8,2022
110000109,524190, ,1570,,8,2022
110000109,525500, ,38100,,8,2022
110000109,527130, ,870,,8,2022
110000109,528000, ,17420,,8,2022
110000109,528010, ,11430,,8,2022
110000109,529100, ,209080,,8,2022
110000109,531800, ,1100,,8,2022
110000109,541130, ,20300,,8,2022
110000109,541140, ,6370,,8,2022
110000109,541160, ,12380,,8,2022
110000109,542900, ,5000,,8,2022
110000109,543110, ,95000,,8,2022
110000109,543120, ,115000,,8,2022
110000109,543140, ,1177720,,8,2022
110000109,543160, ,526800,,8,2022
110000109,543170, ,890,,8,2022
110000109,543180, ,135000,,8,2022
110000109,543190, ,45000,,8,2022
110000109,544112, ,265600,,8,2022
110000109,545100, ,165900,,8,2022
110000109,571140, ,40867.77,,8,2022
110000109,94000000,S,978.96,,8,2022
110000109,94000002,S,2617.92,,8,2022
110000109,94000003,H,,91749.96,8,2022
110000109,94000003,S,7617.36,,8,2022
110000109,94000005,H,,65089.2,8,2022
110000109,94000005,S,80.04,,8,2022
110000109,94000011,S,2550,,8,2022
110000109,94000015,S,66881.88,,8,2022
110000109,94000023,H,,15000,8,2022
110000109,94000023,S,38469,,8,2022
110000109,94000025,S,1566.6,,8,2022
110000109,94000025,H,,489015.12,8,2022
110000109,94000033,S,6916.2,,8,2022
110000109,94000063,H,,454301.88,8,2022
110000109,94000063,S,2371.2,,8,2022
110000109,94000065,S,12669,,8,2022
110000109,94000073,S,801.48,,8,2022
110000109,94000073,H,,132500,8,2022
110000109,94000083,S,26.04,,8,2022
110000109,94000083,H,,1184412.24,8,2022
110000109,94000103,S,1119.6,,8,2022
110000109,94000133,S,93495.6,,8,2022
110000109,94000173,S,414303.96,,8,2022
110000109,94000183,S,40311.84,,8,2022
110000119,448700, ,,30,8,2022
110000119,501100, ,118760.97,,8,2022
110000119,501200, ,32471.48,,8,2022
110000119,502200, ,2516.51,,8,2022
110000119,503200, ,6563.84,,8,2022
110000119,504100, ,7156.32,,8,2022
110000119,504110, ,169.8,,8,2022
110000119,505100, ,41299.8,,8,2022
110000119,506100, ,8332.44,,8,2022
110000119,511100, ,34993.65,,8,2022
110000119,514100, ,8054.04,,8,2022
110000119,515100, ,7040.28,,8,2022
110000119,529100, ,20000,,8,2022
110000119,541130, ,10000,,8,2022
110000119,94000002,S,914.36,,8,2022
110000119,94000003,S,759.96,,8,2022
110000119,94000011,S,307.87,,8,2022
110000119,94000015,S,7320,,8,2022
110000119,94000023,S,22.92,,8,2022
110000119,94000025,S,650.04,,8,2022
110000119,94000033,S,456,,8,2022
110000119,94000063,S,115.2,,8,2022
110000119,94000073,S,77.88,,8,2022
110000119,94000103,S,3450.72,,8,2022
110000123,416110, ,,89480.01,8,2022
110000123,441100, ,,500,8,2022
110000123,448500, ,,120000,8,2022
110000123,448700, ,,80022.32,8,2022
110000123,501100, ,81304.2,,8,2022
