Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
190001507,94000000,S,300,,8,2023
110990133,94000000,S,1350,,8,2023
190000104,94000000,S,1500,,8,2023
150000501,94000000,S,2928,,8,2023
150000504,94000000,S,2928,,8,2023
150000506,94000000,S,2928,,8,2023
150000507,94000000,S,2928,,8,2023
150000508,94000000,S,2928,,8,2023
150000511,94000000,S,2928,,8,2023
110770131,94000000,S,3180,,8,2023
150000503,94000000,S,5856,,8,2023
150001005,94000000,S,5856,,8,2023
168001302,94000000,S,8550,,8,2023
150000502,94000000,S,11712,,8,2023
150000000,94000000,S,43920,,8,2023
133000200,94000000,S,78270,,8,2023
168001303,94000000,S,92400,,8,2023
111000116,94000000,S,100575,,8,2023
166000000,94000000,S,113040,,8,2023
168001300,94000000,S,171000,,8,2023
137000221,94000000,S,421860,,8,2023
130000512,94000000,S,0.36,,8,2023
103001500,94000000,S,10099.92,,8,2023
166000112,94000000,S,10223.64,,8,2023
140000302,94000000,S,1107.36,,8,2023
141000402,94000000,S,1124.52,,8,2023
137000200,94000000,S,113769.96,,8,2023
121000122,94000000,S,11593.56,,8,2023
140000308,94000000,S,1173.24,,8,2023
110660130,94000000,S,1199.88,,8,2023
141200410,94000000,S,1218.84,,8,2023
141500408,94000000,S,1242.84,,8,2023
123000128,94000000,S,12511.08,,8,2023
161000000,94000000,S,12750.12,,8,2023
151000605,94000000,S,13407.12,,8,2023
163001001,94000000,S,13511.4,,8,2023
168001301,94000000,S,136200.12,,8,2023
101000102,94000000,S,1370.04,,8,2023
156001402,94000000,S,1435.92,,8,2023
166001308,94000000,S,14396.16,,8,2023
140000307,94000000,S,1447.44,,8,2023
166001201,94000000,S,1494493.68,,8,2023
151000606,94000000,S,1556.76,,8,2023
104000105,94000000,S,159.96,,8,2023
140000305,94000000,S,1612.68,,8,2023
156000000,94000000,S,17149.92,,8,2023
133000203,94000000,S,17799.96,,8,2023
140000303,94000000,S,1797.24,,8,2023
152000801,94000000,S,18352.8,,8,2023
163000000,94000000,S,18425.04,,8,2023
121000121,94000000,S,18611.4,,8,2023
137000220,94000000,S,19011.72,,8,2023
141700405,94000000,S,1952.76,,8,2023
140000300,94000000,S,21019.92,,8,2023
153000700,94000000,S,2109.96,,8,2023
166001205,94000000,S,2265.84,,8,2023
156001401,94000000,S,23475.96,,8,2023
102000118,94000000,S,2409.6,,8,2023
156001307,94000000,S,2580.6,,8,2023
162000908,94000000,S,264.84,,8,2023
110000123,94000000,S,266.76,,8,2023
140000310,94000000,S,269865.6,,8,2023
162000907,94000000,S,2720.64,,8,2023
103001501,94000000,S,2774.52,,8,2023
133000205,94000000,S,28420.8,,8,2023
133000204,94000000,S,28695.84,,8,2023
161000902,94000000,S,2903.28,,8,2023
140000304,94000000,S,2925.96,,8,2023
150000510,94000000,S,2937.96,,8,2023
190400412,94000000,S,300.24,,8,2023
121000100,94000000,S,30204.96,,8,2023
152000800,94000000,S,30980.04,,8,2023
141300409,94000000,S,3104.88,,8,2023
153000703,94000000,S,311.16,,8,2023
141400407,94000000,S,3162.84,,8,2023
161001003,94000000,S,3180.72,,8,2023
161000901,94000000,S,3373.92,,8,2023
166001202,94000000,S,3391.2,,8,2023
166001206,94000000,S,3441.24,,8,2023
141800404,94000000,S,3506.4,,8,2023
162000900,94000000,S,3819.96,,8,2023
141000400,94000000,S,389.88,,8,2023
125000108,94000000,S,39.96,,8,2023
161001207,94000000,S,3900.12,,8,2023
152000802,94000000,S,3969.12,,8,2023
151000604,94000000,S,4060.44,,8,2023
110000124,94000000,S,41228.28,,8,2023
162000909,94000000,S,415.92,,8,2023
166001103,94000000,S,45675.96,,8,2023
103001502,94000000,S,4753.92,,8,2023
114000107,94000000,S,4760.04,,8,2023
153000702,94000000,S,477.12,,8,2023
151000608,94000000,S,477.24,,8,2023
153000701,94000000,S,493.08,,8,2023
190600903,94000000,S,5.04,,8,2023
140000309,94000000,S,521.88,,8,2023
163000904,94000000,S,5263.56,,8,2023
151000603,94000000,S,552.24,,8,2023
137000219,94000000,S,57713.28,,8,2023
111000115,94000000,S,579.6,,8,2023
140000301,94000000,S,6131.4,,8,2023
166001204,94000000,S,61601.16,,8,2023
166001203,94000000,S,6391.2,,8,2023
151000602,94000000,S,65867.52,,8,2023
133000206,94000000,S,6741.36,,8,2023
162000906,94000000,S,718.56,,8,2023
151000601,94000000,S,718.92,,8,2023
156000208,94000000,S,7192.32,,8,2023
102000103,94000000,S,7284.96,,8,2023
133000201,94000000,S,73317.12,,8,2023
161000215,94000000,S,736.92,,8,2023
120000120,94000000,S,7601.28,,8,2023
110200126,94000000,S,857.76,,8,2023
141600406,94000000,S,8606.52,,8,2023
151000600,94000000,S,86160.12,,8,2023
153000704,94000000,S,878.64,,8,2023
113000114,94000000,S,8899.92,,8,2023
130000127,94000000,S,9.6,,8,2023
130000000,94000000,S,9.96,,8,2023
140000306,94000000,S,937.08,,8,2023
110880132,94000000,S,9619.92,,8,2023
141000401,94000000,S,962.4,,8,2023
152000803,94000000,S,9778.2,,8,2023
110000109,94000000,S,978.96,,8,2023
110000100,94000000,S,9999.96,,8,2023
130000512,94000001,S,9315,,8,2023
150000506,94000001,S,17943,,8,2023
153000704,94000001,S,46938,,8,2023
141000403,94000001,S,10172.64,,8,2023
152000803,94000001,S,104935.94,,8,2023
161000215,94000001,S,10895.4,,8,2023
190000113,94000001,S,10949.18,,8,2023
162000908,94000001,S,11052.48,,8,2023
190400412,94000001,S,11289.97,,8,2023
137000219,94000001,S,113370.81,,8,2023
153000703,94000001,S,12052.68,,8,2023
153000700,94000001,S,12461.88,,8,2023
166001205,94000001,S,12553.08,,8,2023
123000128,94000001,S,126035.04,,8,2023
166000000,94000001,S,126146.19,,8,2023
161000901,94000001,S,12890.16,,8,2023
166001206,94000001,S,13210.2,,8,2023
150000502,94000001,S,133515.12,,8,2023
121000121,94000001,S,13416.96,,8,2023
161001207,94000001,S,13619.4,,8,2023
141600406,94000001,S,142045.22,,8,2023
168001303,94000001,S,142589.64,,8,2023
151000603,94000001,S,14308.2,,8,2023
153000701,94000001,S,14324.4,,8,2023
151000601,94000001,S,14443.56,,8,2023
140000301,94000001,S,145073.64,,8,2023
150000508,94000001,S,14518.08,,8,2023
152000802,94000001,S,15062.76,,8,2023
162000909,94000001,S,15167.52,,8,2023
110990133,94000001,S,15365.64,,8,2023
140000309,94000001,S,15652.92,,8,2023
110660130,94000001,S,15864.12,,8,2023
110770131,94000001,S,15943.08,,8,2023
110880132,94000001,S,15943.32,,8,2023
161001003,94000001,S,16269.48,,8,2023
162000906,94000001,S,16338.72,,8,2023
166001202,94000001,S,16701.6,,8,2023
153000702,94000001,S,17188.8,,8,2023
151000606,94000001,S,17378.28,,8,2023
150000511,94000001,S,17850.48,,8,2023
166001203,94000001,S,17944.92,,8,2023
133000200,94000001,S,18013.1,,8,2023
168001302,94000001,S,18043.32,,8,2023
141000402,94000001,S,18168.72,,8,2023
190000104,94000001,S,18654.6,,8,2023
152000800,94000001,S,18748.32,,8,2023
156001401,94000001,S,18755.04,,8,2023
190001507,94000001,S,204965.55,,8,2023
156001307,94000001,S,20505.48,,8,2023
137000220,94000001,S,20574.84,,8,2023
156001402,94000001,S,22269.24,,8,2023
168001301,94000001,S,223340.47,,8,2023
156000208,94000001,S,22359.96,,8,2023
140000302,94000001,S,22442.28,,8,2023
170001102,94000001,S,228964.06,,8,2023
141800404,94000001,S,23250.84,,8,2023
101000102,94000001,S,23531.76,,8,2023
130000127,94000001,S,24043.8,,8,2023
166001308,94000001,S,25686.72,,8,2023
140000308,94000001,S,26369.77,,8,2023
166001201,94000001,S,266177.86,,8,2023
166000112,94000001,S,27389.76,,8,2023
166001204,94000001,S,27458.48,,8,2023
141500408,94000001,S,27722.64,,8,2023
151000602,94000001,S,291361.74,,8,2023
151000600,94000001,S,29383.32,,8,2023
141400407,94000001,S,29612.26,,8,2023
140000306,94000001,S,30745.8,,8,2023
133000205,94000001,S,31382.04,,8,2023
150000503,94000001,S,31439.4,,8,2023
170001208,94000001,S,325009.71,,8,2023
140000303,94000001,S,32717.16,,8,2023
103001502,94000001,S,32899.08,,8,2023
137000200,94000001,S,32908.09,,8,2023
133000207,94000001,S,33684.48,,8,2023
141000401,94000001,S,34063.56,,8,2023
137000221,94000001,S,361214.11,,8,2023
125000108,94000001,S,36617.16,,8,2023
140000305,94000001,S,37175.52,,8,2023
121000122,94000001,S,372552.19,,8,2023
161000000,94000001,S,3741.96,,8,2023
161000902,94000001,S,39284.16,,8,2023
141700405,94000001,S,40652.16,,8,2023
113000114,94000001,S,42879.24,,8,2023
150001005,94000001,S,43202.16,,8,2023
151000604,94000001,S,44136.48,,8,2023
102000118,94000001,S,44447.79,,8,2023
141200410,94000001,S,44578.32,,8,2023
103001501,94000001,S,47683.32,,8,2023
141300409,94000001,S,48489.24,,8,2023
140000310,94000001,S,48545.4,,8,2023
163001001,94000001,S,48639.84,,8,2023
102000103,94000001,S,49717.44,,8,2023
140000300,94000001,S,50189.89,,8,2023
168001300,94000001,S,50910.84,,8,2023
151000605,94000001,S,57500.94,,8,2023
162000907,94000001,S,57932.04,,8,2023
163000000,94000001,S,6027.6,,8,2023
150000501,94000001,S,62759.88,,8,2023
162000900,94000001,S,6322.32,,8,2023
140000304,94000001,S,63856.56,,8,2023
133000206,94000001,S,68704.74,,8,2023
133000204,94000001,S,695997.68,,8,2023
152000801,94000001,S,70103.11,,8,2023
150000504,94000001,S,70652.88,,8,2023
121000100,94000001,S,7101.36,,8,2023
140000307,94000001,S,71991.55,,8,2023
150000000,94000001,S,73467.24,,8,2023
133000201,94000001,S,74132.06,,8,2023
103001500,94000001,S,7688.16,,8,2023
150000507,94000001,S,80396.79,,8,2023
130000000,94000001,S,8095.68,,8,2023
133000202,94000001,S,81005.28,,8,2023
166001103,94000001,S,826584.57,,8,2023
163000904,94000001,S,83026.8,,8,2023
133000203,94000001,S,83864.16,,8,2023
150000510,94000001,S,83910.98,,8,2023
156000000,94000001,S,8945.64,,8,2023
190000414,94000001,S,9014.76,,8,2023
