Profitcenter;Sachkonto;S/H;costs;earnings;Periode;Jahr
100000000;526100; ;88,00;;1;2016
100000000;526100; ;;88,00;10;2016
100000000;541130; ;469,80;;9;2016
100000000;541130; ;;469,80;10;2016
100000000;543130; ;19,19;;1;2016
100000000;543130; ;19,29;;2;2016
100000000;543130; ;18,96;;3;2016
100000000;543130; ;230,69;;4;2016
100000000;543130; ;235,41;;5;2016
100000000;543130; ;215,51;;6;2016
100000000;543130; ;29,96;;7;2016
100000000;543130; ;;769,01;10;2016
100000000;543160; ;;107,19;1;2016
100000000;543160; ;;19,29;2;2016
100000000;543160; ;;18,96;3;2016
100000000;543160; ;145,44;;10;2016
100000000;547610; ;149.637,17;;1;2016
100000000;547610; ;;149.637,17;10;2016
100000000;551100; ;;17.137,00;11;2016
100000000;551100; ;17.137,00;;12;2016
100000100;94000003;H;;56.617,93;9;2016
100000100;94000003;S;56.617,93;;9;2016
100000100;94000023;H;;14.194,45;3;2016
100000100;94000023;S;14.194,45;;3;2016
101000102;414000; ;;8.469,47;10;2016
101000102;414000; ;;3.500,00;11;2016
101000102;414000; ;;174.149,00;12;2016
101000102;414100; ;;59.310,23;6;2016
101000102;414800; ;;30.149,93;6;2016
101000102;416110; ;;54,01;1;2016
101000102;416110; ;;54,02;2;2016
101000102;416110; ;;54,01;3;2016
101000102;416110; ;;33,50;4;2016
101000102;416110; ;;33,51;5;2016
101000102;416110; ;;33,52;6;2016
101000102;416110; ;;33,50;7;2016
101000102;416110; ;;33,50;8;2016
101000102;416110; ;;33,51;9;2016
101000102;416110; ;;33,50;10;2016
101000102;416110; ;;33,52;11;2016
101000102;416110; ;;82,47;12;2016
101000102;416110; ;;4.584,53;13;2016
101000102;448700; ;;26,36;1;2016
101000102;448700; ;;12,76;2;2016
101000102;448700; ;;5,56;3;2016
101000102;448700; ;;9,24;4;2016
101000102;448700; ;;51,16;6;2016
101000102;448700; ;;5,61;7;2016
101000102;448700; ;;3,78;8;2016
101000102;448700; ;;18,57;9;2016
101000102;448700; ;;28,95;10;2016
101000102;448700; ;;15,60;11;2016
