Kostenstelle,Beschreibung,Profitcenter,Amt,Produkt,Gültig_ab,Gültig_bis
100000,"Verwaltungsgebäude, Berliner Platz 2",100000100,0000,0100,1/1/2005,12/31/9999
100001,"Verwaltungsgebäude, Bottler Platz 1",100000100,0000,0100,7/1/2015,12/31/9999
100003,"Verwaltungsgebäude, Kurfürstenallee 2-3",100000100,0000,0100,1/1/2005,12/31/9999
100005,Verwaltungsgebäude Villemombler Str. 1,100000100,0000,0100,1/1/2005,12/31/9999
100006,Hilfskostenstelle Kantine,100000100,0000,0100,1/1/2008,12/31/9999
100007,"Alte Schule Duisdorf, Kirchplatz 6",100000100,0000,0100,1/1/2006,12/31/9999
100008,"Rathaus Beuel, Friedrich-Breuer-Str. 65",100000100,0000,0100,1/1/2007,12/31/9999
100009,Markt 2 / Rathausgasse 1-5,100000100,0000,0100,1/1/2007,12/31/9999
100011,Bürogebäude Oxfordstr. 19,100000100,0000,0100,1/1/2007,12/31/9999
100012,Bürogebäude Welschnonnenstraße 7,100000100,0000,0100,1/1/2010,12/31/9999
100013,Bürogebäude St. Augustiner STr. 86,100000100,0000,0100,9/1/2011,12/31/9999
100014,Bürogebäude Dechenstr. 14,100000100,0000,0100,1/1/2013,12/31/9999
100015,Bürogebäude Thomas-Mann-Str. 2-4,100000100,0000,0100,4/1/2016,12/31/9999
100105,PKeGov,110000124,1000,0124,1/1/2011,12/31/9999
100108,ALSO,110000124,1000,0124,1/1/2011,12/31/9999
100109,OpenData,110000124,1000,0124,1/1/2013,12/31/9999
100113,Server Sachg. 0,110000124,1000,0124,1/1/2011,12/31/9999
100118,Bauplanverfahren AVA,110000124,1000,0124,1/1/2011,12/31/9999
100127,Externe Gebührenkasse,110000124,1000,0124,1/1/2011,12/31/9999
100128,LIMAS,110000124,1000,0124,1/1/2011,12/31/9999
100129,Digitale Archivierung,110000124,1000,0124,12/1/2015,12/31/9999
100800,Amtsleitung und Sekretariat,110000100,1000,0100,1/1/2007,12/31/9999
100821,Leitung IT-Anwendungen,110000124,1000,0124,1/1/2016,12/31/9999
100822,Call-Center,110000124,1000,0124,1/1/2011,12/31/9999
100830,Organisation / Programmierung,110000124,1000,0124,1/1/2011,12/31/9999
100831,elekt. Formularwesen,110000124,1000,0124,1/1/2011,12/31/9999
100850,Referat Stadtförderung,110000124,1000,0124,1/1/2012,3/31/2016
100851,Referat Stadtförderung,110000119,1000,0119,4/1/2016,12/31/9999
100888,Sammler Freistellungen,110000100,1000,0100,1/1/2007,12/31/9999
100901,Beihilfe Beamte,100000100,0000,0100,1/1/2005,12/31/9999
100902,Beihilfe Angestellte,100000100,0000,0100,1/1/2005,12/31/9999
100903,Pensionszahlungen/Rückstellungen,100000100,0000,0100,1/1/2005,12/31/9999
102050,IT-Materiallager,110200126,1020,0126,1/1/2015,12/31/9999
102051,PC-Materiallager  Altbestand Vorjahr,110200126,1020,0126,1/1/2006,12/31/9999
102060,Lager Komm.-dienste,110200126,1020,0126,1/1/2005,12/31/9999
102101,IT-Support,110200126,1020,0126,1/1/2015,12/31/9999
102103,IT-Schulungen,110200126,1020,0126,1/1/2015,12/31/9999
102104,PC-Netz-Systemverw.,110200126,1020,0126,1/1/2005,12/31/9999
102106,RIS,110200126,1020,0126,1/1/2005,12/31/9999
102108,ALSO,110200126,1020,0126,1/1/2005,12/31/9999
102110,RZ-Nutzung,110200126,1020,0126,1/1/2005,12/31/9999
102111,SESAM-DBH-Nutzung,110200126,1020,0126,1/1/2005,12/31/9999
102112,XEROX-LPR 10-2,110200126,1020,0126,1/1/2005,12/31/9999
102113,Server Sachgbiet 0,110200126,1020,0126,1/1/2005,12/31/9999
102115,Krankenhilfeabrechn.,110200126,1020,0126,1/1/2005,12/31/9999
102118,AVA,110200126,1020,0126,1/1/2005,12/31/9999
102119,Dokumentenmanagement,110200126,1020,0126,1/1/2005,12/31/9999
102120,Internet-Nutzung,110200126,1020,0126,1/1/2005,12/31/9999
102121,E-Mail-Nutzung,110200126,1020,0126,1/1/2005,12/31/9999
