MS,MS Name,CCI,Ver,Title,Fund,Priority,TO,To short,Category of region,EAFRD MEASURE,EAFRD FA,EU Amount,National Amount,Total Amount,EU co-financing,TO long
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,3730936.91,3618957.31,7349894.22,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2B,319794.6,310196.35,629990.95,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,3512292.32,3487602.12,6999894.44,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2B,150526.81,149468.66,299995.47,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M02,FA_3A,532990.99,516993.9,1049984.89,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M02,FA_3B,106598.2,103398.79,209996.99,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3A,8569993.27,8509749.17,17079742.44,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3B,150526.81,149468.66,299995.47,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,2131963.94,2067975.6,4199939.54,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,6372301.78,6327506.7,12699808.48,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5A,106598.2,103398.79,209996.99,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5B,532990.99,516993.9,1049984.89,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5C,746187.38,723791.46,1469978.84,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5D,213196.39,206797.56,419993.95,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5E,319794.6,310196.35,629990.95,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5A,326141.43,323848.77,649990.2,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5B,326141.43,323848.77,649990.2,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5C,326141.43,323848.77,649990.2,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5D,326141.43,323848.77,649990.2,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5E,326141.43,323848.77,649990.2,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P6,1,Research & Innovation,n.a.,M02,FA_6A,2338053.79,2267879.91,4605933.7,50.76%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6A,19854486.74,19714916.55,39569403.29,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT06RDNP001,1.3,Austria - Rural Development Programme (National),EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,150526.81,149468.66,299995.47,50.18%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment Austria 2014-2020 - Operational Programme for the use of the ERDF funds,ERDF,A.1,1,Research & Innovation,More developed,n.a.,n.a.,186418318,435634895,622053213,29.97%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment Austria 2014-2020 - Operational Programme for the use of the ERDF funds,ERDF,A.1,1,Research & Innovation,Transition,n.a.,n.a.,12016920,19303552,31320472,38.37%,"Strengthening research, technological development and innovation"
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment Austria 2014-2020 - Operational Programme for the use of the ERDF funds,ERDF,A.4,1,Research & Innovation,More developed,n.a.,n.a.,7800000,7800000,15600000,50%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP001,1.3,Belgium - Rural Development Programme (Regional) - Flanders,EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2B,3595567,1953000,5548567,64.8%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP001,1.3,Belgium - Rural Development Programme (Regional) - Flanders,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,310721,225000,535721,58%,"Strengthening research, technological development and innovation"
BE,Belgium,2014BE06RDRP001,1.3,Belgium - Rural Development Programme (Regional) - Flanders,EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,4280437,2325000,6605437,64.8%,"Strengthening research, technological development and innovation"
