COD_LOCALE_PROGETTO;COD_REGIONE;DEN_REGIONE;COD_PROVINCIA;DEN_PROVINCIA;COD_COMUNE;DEN_COMUNE;INDIRIZZO_PROG;CAP_PROG;OC_TERRITORIO_PROG;OC_FLAG_CAP_PROG
17EM0223544;8;EMILIA;39;RAVENNA;14;Ravenna;VIA L. B.  ALBERTI;48100;C;0
17EM0228885;8;EMILIA;37;BOLOGNA;6;Bologna;VIA CRISTOFORO COLOMBO;40131;C;1
17EM0235574;8;EMILIA;37;BOLOGNA;42;Monte San Pietro;VIA MARIO ALICATA;40050;C;1
17EM0235733;8;EMILIA;35;REGGIO EMILIA;33;Reggio Nell'Emilia;VIA MONTE URALI;42100;C;0
17EM0235756;8;EMILIA;37;BOLOGNA;6;Bologna;VIA DEL LITOGRAFO;40138;C;1
17EM0237231;8;EMILIA;99;RIMINI;19;Torriana;VIA MOLINO VIGNE;47825;C;1
17EM0237525;8;EMILIA;40;FORLI;12;Forli';VIA BARSANTI;47100;C;0
17EM0237539;8;EMILIA;39;RAVENNA;10;Faenza;VIA GRANAROLO;48018;C;1
17EM0237554;8;EMILIA;33;PIACENZA;32;Piacenza;VIA GUICCIARDINI;29100;C;0
17EM0237569;8;EMILIA;39;RAVENNA;10;Faenza;VIA PROVENTA;48018;C;1
17EM0237593;8;EMILIA;33;PIACENZA;32;Piacenza;VIA MACHIAVELLI;29100;C;0
17EM0239383;8;EMILIA;36;MODENA;45;Spilamberto;VIA PROVINCIALE VIGNOLA-SASSUOLO;41057;C;1
17EM0239402;8;EMILIA;37;BOLOGNA;1;Anzola Dell'Emilia;VIA CADUTI DI SABBIUNO;40100;C;0
17EM0239427;8;EMILIA;38;FERRARA;8;Ferrara;VIA MODENA;44100;C;0
17EM0239472;8;EMILIA;37;BOLOGNA;6;Bologna;VIA SAN FELICE;40122;C;1
17EM0239534;8;EMILIA;38;FERRARA;8;Ferrara;VIA CENTO;44100;C;0
17EM0239757;8;EMILIA;35;REGGIO EMILIA;33;Reggio Nell'Emilia;VIA F.LLI GUERRA;42100;C;0
17EM0240601;8;EMILIA;37;BOLOGNA;57;Sasso Marconi;VIA PORRETTANA;40044;C;0
17EM0240610;8;EMILIA;37;BOLOGNA;9;Calderara Di Reno;VIA PRADAZZO;40012;C;1
17EM0240614;8;EMILIA;36;MODENA;23;Modena;VIA DEI TIPOGRAFI;41100;C;0
1BOPG-2/61/2010;4;TRENTINO;21;BOLZANO;8;Bolzano;Mitterweg 7;39100;C;1
1CA128C342007IT051PO001;15;CAMPANIA;64;AVELLINO;8;Avellino;;;C;2
1CA128C42007IT161PO009;15;CAMPANIA;63;NAPOLI;14;Capri;;;C;2
1CA128C432007IT051PO001;15;CAMPANIA;63;NAPOLI;30;Crispano;;;C;2
1CA128C482007IT051PO001;15;CAMPANIA;63;NAPOLI;49;Napoli;;;C;2
1CL99241;18;CALABRIA;101;CROTONE;10;Crotone;ND;88900;C;1
1CL99242;18;CALABRIA;101;CROTONE;10;Crotone;ND;88900;C;1
1CL99243;18;CALABRIA;101;CROTONE;10;Crotone;ND;88900;C;1
1CL99244;18;CALABRIA;101;CROTONE;10;Crotone;ND;88900;C;1
1CL99245;18;CALABRIA;101;CROTONE;10;Crotone;ND;88900;C;1
1CL99277;18;CALABRIA;79;CATANZARO;92;Pentone;ND;88050;C;1
1CL99278;18;CALABRIA;101;CROTONE;8;Ciro' Marina;ND;88811;C;1
1CL99279;18;CALABRIA;78;COSENZA;108;Rossano;ND;87067;C;1
1EM2007-240/PR;8;EMILIA;37;BOLOGNA;6;Bologna;Via Calzoni, 1-3;40128;C;1
1EM2007-241/FE;8;EMILIA;38;FERRARA;7;Copparo;Via Provinciale, 73;44034;C;1
1EM2007-241/MO;8;EMILIA;36;MODENA;23;Modena;Strada Attiraglio, 7;41122;C;1
