COD_LOCALE_PROGETTO;DATA_AGGIORNAMENTO;TOT_PAGAMENTI;OC_TOT_PAGAMENTI_RENDICONTAB_UE;OC_TOT_PAGAMENTI_FSC;OC_TOT_PAGAMENTI_PAC
17EM0223544;20110228;0;0;0;0
17EM0223544;20110430;43872,64;43872,64;0;0
17EM0223544;20110630;43872,64;43872,64;0;0
17EM0223544;20110831;43872,64;43872,64;0;0
17EM0223544;20111031;43872,64;43872,64;0;0
17EM0223544;20111231;43872,64;43872,64;0;0
17EM0223544;20120229;43872,64;43872,64;0;0
17EM0223544;20120430;43872,64;43872,64;0;0
17EM0223544;20120630;43872,64;43872,64;0;0
17EM0223544;20120831;43872,64;43872,64;0;0
17EM0223544;20121031;43872,64;43872,64;0;0
17EM0223544;20121231;43872,64;43872,64;0;0
17EM0223544;20130228;43872,64;43872,64;0;0
17EM0223544;20130430;43872,64;43872,64;0;0
17EM0223544;20130630;43872,64;43872,64;0;0
17EM0223544;20130831;43872,64;43872,64;0;0
17EM0223544;20131031;43872,64;43872,64;0;0
17EM0223544;20131231;43872,64;43872,64;0;0
17EM0223544;20140228;43872,64;43872,64;0;0
17EM0223544;20140430;43872,64;43872,64;0;0
17EM0223544;20140630;43872,64;43872,64;0;0
17EM0223544;20140831;43872,64;43872,64;0;0
17EM0223544;20141031;43872,64;43872,64;0;0
17EM0223544;20141231;43872,64;43872,64;0;0
17EM0223544;20150228;43872,64;43872,64;0;0
17EM0223544;20150430;43872,64;43872,64;0;0
17EM0223544;20150630;43872,64;43872,64;0;0
17EM0223544;20150831;43872,64;43872,64;0;0
17EM0223544;20151031;43872,64;43872,64;0;0
17EM0223544;20151231;43872,64;43872,64;0;0
17EM0228885;20100430;0;0;0;0
17EM0228885;20100630;90220,18;90220,18;0;0
17EM0228885;20100831;90220,18;90220,18;0;0
17EM0228885;20101031;90220,18;90220,18;0;0
17EM0228885;20101231;90220,18;90220,18;0;0
17EM0228885;20110228;90220,18;90220,18;0;0
17EM0228885;20110430;90220,18;90220,18;0;0
17EM0228885;20110630;90220,18;90220,18;0;0
17EM0228885;20110831;90220,18;90220,18;0;0
17EM0228885;20111031;90220,18;90220,18;0;0
17EM0228885;20111231;90220,18;90220,18;0;0
17EM0228885;20120229;90220,18;90220,18;0;0
17EM0228885;20120430;90220,18;90220,18;0;0
17EM0228885;20120630;90220,18;90220,18;0;0
17EM0228885;20120831;90220,18;90220,18;0;0
17EM0228885;20121031;90220,18;90220,18;0;0
17EM0228885;20121231;90220,18;90220,18;0;0
17EM0228885;20130228;90220,18;90220,18;0;0
17EM0228885;20130430;90220,18;90220,18;0;0
17EM0228885;20130630;90220,18;90220,18;0;0
17EM0228885;20130831;90220,18;90220,18;0;0
17EM0228885;20131031;90220,18;90220,18;0;0
17EM0228885;20131231;90220,18;90220,18;0;0
17EM0228885;20140228;90220,18;90220,18;0;0
17EM0228885;20140430;90220,18;90220,18;0;0
17EM0228885;20140630;90220,18;90220,18;0;0
17EM0228885;20140831;90220,18;90220,18;0;0
17EM0228885;20141031;90220,18;90220,18;0;0
17EM0228885;20141231;90220,18;90220,18;0;0
17EM0228885;20150228;90220,18;90220,18;0;0
17EM0228885;20150430;90220,18;90220,18;0;0
17EM0228885;20150630;90220,18;90220,18;0;0
17EM0228885;20150831;90220,18;90220,18;0;0
17EM0228885;20151031;90220,18;90220,18;0;0
17EM0228885;20151231;90220,18;90220,18;0;0
17EM0235574;20151231;0;0;0;0
17EM0235733;20100228;0;0;0;0
17EM0235733;20100430;36000;36000;0;0
17EM0235733;20100630;36000;36000;0;0
17EM0235733;20100831;36000;36000;0;0
17EM0235733;20101031;36000;36000;0;0
17EM0235733;20101231;36000;36000;0;0
17EM0235733;20110228;36000;36000;0;0
17EM0235733;20110430;36000;36000;0;0
17EM0235733;20110630;36000;36000;0;0
17EM0235733;20110831;36000;36000;0;0
17EM0235733;20111031;36000;36000;0;0
17EM0235733;20111231;36000;36000;0;0
17EM0235733;20120229;36000;36000;0;0
17EM0235733;20120430;36000;36000;0;0
17EM0235733;20120630;36000;36000;0;0
17EM0235733;20120831;36000;36000;0;0
17EM0235733;20121031;36000;36000;0;0
17EM0235733;20121231;36000;36000;0;0
17EM0235733;20130228;36000;36000;0;0
17EM0235733;20130430;36000;36000;0;0
17EM0235733;20130630;36000;36000;0;0
17EM0235733;20130831;36000;36000;0;0
17EM0235733;20131031;36000;36000;0;0
17EM0235733;20131231;36000;36000;0;0
17EM0235733;20140228;36000;36000;0;0
17EM0235733;20140430;36000;36000;0;0
17EM0235733;20140630;36000;36000;0;0
17EM0235733;20140831;36000;36000;0;0
17EM0235733;20141031;36000;36000;0;0
17EM0235733;20141231;36000;36000;0;0
17EM0235733;20150228;36000;36000;0;0
17EM0235733;20150430;36000;36000;0;0
17EM0235733;20150630;36000;36000;0;0
17EM0235733;20150831;36000;36000;0;0
17EM0235733;20151031;36000;36000;0;0
17EM0235733;20151231;36000;36000;0;0
17EM0235756;20110831;0;0;0;0
17EM0235756;20111031;52463,28;52463,28;0;0
17EM0235756;20111231;52463,28;52463,28;0;0
17EM0235756;20120229;52463,28;52463,28;0;0
17EM0235756;20120430;52463,28;52463,28;0;0
17EM0235756;20120630;52463,28;52463,28;0;0
17EM0235756;20120831;52463,28;52463,28;0;0
17EM0235756;20121031;52463,28;52463,28;0;0
17EM0235756;20121231;52463,28;52463,28;0;0
17EM0235756;20130228;52463,28;52463,28;0;0
17EM0235756;20130430;52463,28;52463,28;0;0
17EM0235756;20130630;52463,28;52463,28;0;0
17EM0235756;20130831;52463,28;52463,28;0;0
17EM0235756;20131031;52463,28;52463,28;0;0
17EM0235756;20131231;52463,28;52463,28;0;0
17EM0235756;20140228;52463,28;52463,28;0;0
17EM0235756;20140430;52463,28;52463,28;0;0
17EM0235756;20140630;52463,28;52463,28;0;0
17EM0235756;20140831;52463,28;52463,28;0;0
17EM0235756;20141031;52463,28;52463,28;0;0
17EM0235756;20141231;52463,28;52463,28;0;0
17EM0235756;20150228;52463,28;52463,28;0;0
17EM0235756;20150430;52463,28;52463,28;0;0
17EM0235756;20150630;52463,28;52463,28;0;0
17EM0235756;20150831;52463,28;52463,28;0;0
17EM0235756;20151031;52463,28;52463,28;0;0
17EM0235756;20151231;52463,28;52463,28;0;0
17EM0237231;20151231;0;0;0;0
17EM0237525;20100430;0;0;0;0
17EM0237525;20100630;47393,09;47393,09;0;0
17EM0237525;20100831;47393,09;47393,09;0;0
17EM0237525;20101031;47393,09;47393,09;0;0
17EM0237525;20101231;47393,09;47393,09;0;0
17EM0237525;20110228;47393,09;47393,09;0;0
17EM0237525;20110430;47393,09;47393,09;0;0
17EM0237525;20110630;47393,09;47393,09;0;0
17EM0237525;20110831;47393,09;47393,09;0;0
17EM0237525;20111031;47393,09;47393,09;0;0
17EM0237525;20111231;47393,09;47393,09;0;0
17EM0237525;20120229;47393,09;47393,09;0;0
17EM0237525;20120430;47393,09;47393,09;0;0
17EM0237525;20120630;47393,09;47393,09;0;0
17EM0237525;20120831;47393,09;47393,09;0;0
17EM0237525;20121031;47393,09;47393,09;0;0
17EM0237525;20121231;47393,09;47393,09;0;0
17EM0237525;20130228;47393,09;47393,09;0;0
17EM0237525;20130430;47393,09;47393,09;0;0
17EM0237525;20130630;47393,09;47393,09;0;0
17EM0237525;20130831;47393,09;47393,09;0;0
17EM0237525;20131031;47393,09;47393,09;0;0
17EM0237525;20131231;47393,09;47393,09;0;0
17EM0237525;20140228;47393,09;47393,09;0;0
17EM0237525;20140430;47393,09;47393,09;0;0
17EM0237525;20140630;47393,09;47393,09;0;0
17EM0237525;20140831;47393,09;47393,09;0;0
17EM0237525;20141031;47393,09;47393,09;0;0
17EM0237525;20141231;47393,09;47393,09;0;0
17EM0237525;20150228;47393,09;47393,09;0;0
17EM0237525;20150430;47393,09;47393,09;0;0
17EM0237525;20150630;47393,09;47393,09;0;0
17EM0237525;20150831;47393,09;47393,09;0;0
17EM0237525;20151031;47393,09;47393,09;0;0
17EM0237525;20151231;47393,09;47393,09;0;0
17EM0237539;20151231;0;0;0;0
